Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2013-12-18T09:45:00,223,1,Mail,Email,2
2013-12-18T09:45:00,46,1,Finder,General Utilities,0
2013-12-18T09:45:00,17,1,sciencedirect.com,Engineering & Technology,1
2013-12-18T09:45:00,10,1,alfred,General Utilities,2
2013-12-18T09:45:00,2,1,Skype,General Social Networking,-2
2013-12-18T09:50:00,23,1,loginwindow,General Utilities,0
2013-12-18T09:50:00,4,1,Mail,Email,2
2013-12-18T09:55:00,80,1,bing.com,Search,2
2013-12-18T09:55:00,28,1,Finder,General Utilities,0
2013-12-18T09:55:00,17,1,Preview,General Reference & Learning,2
2013-12-18T09:55:00,11,1,Mail,Email,2
2013-12-18T09:55:00,10,1,net.tsinghua.edu.cn,General Reference & Learning,1
2013-12-18T10:00:00,265,1,google.ca,Search,0
2013-12-18T10:00:00,31,1,bing.com,Search,2
2013-12-18T10:00:00,4,1,Mail,Email,2
2013-12-18T10:05:00,98,1,Skype,General Social Networking,-2
2013-12-18T10:05:00,77,1,store.lowepro.com,General Shopping,-1
2013-12-18T10:05:00,64,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:05:00,61,1,google.ca,Search,0
2013-12-18T10:10:00,197,1,Skype,General Social Networking,-2
2013-12-18T10:10:00,103,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:15:00,300,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:20:00,281,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:20:00,14,1,Skype,General Social Networking,-2
2013-12-18T10:20:00,5,1,Mail,Email,2
2013-12-18T10:25:00,104,1,bing.com,Search,2
2013-12-18T10:25:00,94,1,aiseesoft mxf converter for mac,Uncategorized,0
2013-12-18T10:25:00,68,1,electronics.howstuffworks.com,Search,0
2013-12-18T10:25:00,20,1,Mail,Email,2
2013-12-18T10:25:00,7,1,Finder,General Utilities,0
2013-12-18T10:25:00,7,1,Skype,General Social Networking,-2
2013-12-18T10:30:00,187,1,youtube.com,Video,-2
2013-12-18T10:30:00,97,1,aiseesoft mxf converter for mac,Uncategorized,0
2013-12-18T10:30:00,13,1,quicktime player,General Entertainment,-1
2013-12-18T10:30:00,3,1,Finder,General Utilities,0
2013-12-18T10:35:00,222,1,youtube.com,Video,-2
2013-12-18T10:35:00,78,1,aiseesoft mxf converter for mac,Uncategorized,0
2013-12-18T10:40:00,158,1,Preview,General Reference & Learning,2
2013-12-18T10:40:00,116,1,youtube.com,Video,-2
2013-12-18T10:40:00,9,1,aiseesoft mxf converter for mac,Uncategorized,0
2013-12-18T10:40:00,9,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:40:00,8,1,Finder,General Utilities,0
2013-12-18T10:45:00,100,1,handbrake,Video Editing,2
2013-12-18T10:45:00,66,1,quicktime player,General Entertainment,-1
2013-12-18T10:45:00,65,1,Finder,General Utilities,0
2013-12-18T10:45:00,35,1,aiseesoft mxf converter for mac,Uncategorized,0
2013-12-18T10:45:00,21,1,Preview,General Reference & Learning,2
2013-12-18T10:45:00,6,1,microsoft word,Writing,2
2013-12-18T10:45:00,5,1,alfred,General Utilities,2
2013-12-18T10:45:00,2,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:50:00,168,1,handbrake,Video Editing,2
2013-12-18T10:50:00,76,1,quicktime player,General Entertainment,-1
2013-12-18T10:50:00,28,1,Finder,General Utilities,0
2013-12-18T10:50:00,24,1,VLC Media Player,Video,-2
2013-12-18T10:50:00,4,1,usernotificationcenter,General Utilities,0
2013-12-18T10:55:00,105,1,apple.com,Engineering & Technology,-1
2013-12-18T10:55:00,76,1,item.taobao.com,General Shopping,-1
2013-12-18T10:55:00,44,1,handbrake,Video Editing,2
2013-12-18T10:55:00,26,1,quicktime player,General Entertainment,-1
2013-12-18T10:55:00,21,1,Finder,General Utilities,0
2013-12-18T10:55:00,16,1,pubs.rsc.org,General Reference & Learning,1
2013-12-18T10:55:00,7,1,microsoft word,Writing,2
2013-12-18T10:55:00,3,1,applications,General Business,2
2013-12-18T10:55:00,2,1,aiseesoft mxf converter for mac,Uncategorized,0
2013-12-18T11:00:00,234,1,apple.com,Engineering & Technology,-1
2013-12-18T11:00:00,59,1,handbrake,Video Editing,2
2013-12-18T11:00:00,7,1,Finder,General Utilities,0
2013-12-18T11:05:00,226,1,tuaw.com,General News & Opinion,-2
2013-12-18T11:05:00,57,1,VLC Media Player,Video,-2
2013-12-18T11:05:00,11,1,handbrake,Video Editing,2
2013-12-18T11:05:00,6,1,Finder,General Utilities,0
2013-12-18T11:10:00,195,1,simplymac.com,Uncategorized,0
2013-12-18T11:10:00,69,1,blog.wiwo.de,General Reference & Learning,1
2013-12-18T11:10:00,29,1,pages,Presentation,2
2013-12-18T11:10:00,5,1,tuaw.com,General News & Opinion,-2
2013-12-18T11:10:00,2,1,alfred,General Utilities,2
2013-12-18T11:15:00,139,1,pages,Presentation,2
2013-12-18T11:15:00,116,1,Finder,General Utilities,0
2013-12-18T11:15:00,38,1,handbrake,Video Editing,2
2013-12-18T11:15:00,7,1,blog.wiwo.de,General Reference & Learning,1
2013-12-18T11:20:00,113,1,en.wikipedia.org,General Reference & Learning,1
2013-12-18T11:20:00,111,1,handbrake,Video Editing,2
2013-12-18T11:20:00,71,1,Finder,General Utilities,0
2013-12-18T11:20:00,5,1,pages,Presentation,2
2013-12-18T11:25:00,137,1,pages,Presentation,2
2013-12-18T11:25:00,94,1,Finder,General Utilities,0
2013-12-18T11:25:00,62,1,handbrake,Video Editing,2
2013-12-18T11:25:00,7,1,VLC Media Player,Video,-2
2013-12-18T11:30:00,299,1,Finder,General Utilities,0
2013-12-18T11:30:00,1,1,handbrake,Video Editing,2
2013-12-18T11:35:00,116,1,Finder,General Utilities,0
2013-12-18T12:00:00,137,1,Safari,Browsers,2
2013-12-18T12:00:00,25,1,System Preferences,General Utilities,0
2013-12-18T12:00:00,2,1,pages,Presentation,2
2013-12-18T12:05:00,102,1,ibooks,General Reference & Learning,1
2013-12-18T12:05:00,65,1,System Preferences,General Utilities,0
2013-12-18T12:05:00,47,1,pages,Presentation,2
2013-12-18T12:05:00,38,1,Mail,Email,2
2013-12-18T12:05:00,30,1,alfred,General Utilities,2
2013-12-18T12:05:00,18,1,handbrake,Video Editing,2
