Hour,Activity time,Total period,% Period,Period rank
21,77:40:39,887:52:29,8.748700470442996,2
22,76:28:11,974:50:8,7.844371472339494,2
20,68:22:57,772:7:9,8.856469694336907,2
23,50:50:55,893:45:39,5.68928612831111,4
19,45:39:10,605:18:5,7.542156455576538,3
00,30:23:22,654:16:43,4.6447253399948965,4
18,24:11:12,446:50:8,5.412878712526607,3
17,18:35:15,550:49:32,3.3744803254912323,5
16,17:45:45,617:12:53,2.8778477506252327,7
11,16:54:24,437:35:59,3.863500319609689,4
10,11:35:59,285:17:5,4.066015919768263,3
15,10:43:31,600:28:13,1.7861463214249202,11
12,10:17:50,381:54:58,2.6962000090188507,7
13,9:52:14,507:31:50,1.9448199615786679,9
14,8:40:36,571:37:27,1.5178971031374053,17
01,5:15:46,295:57:11,1.778247488575046,15
08,3:29:38,100:37:37,3.4721206215476856,6
09,2:46:23,189:54:57,1.4601497446968468,14
07,2:9:28,17:5:12,12.628430224996748,1
02,1:30:24,94:55:28,1.5872272684708306,17
04,0:52:24,6:49:4,12.809647979139504,3
06,0:30:11,8:21:27,6.019210954897464,5
05,0:28:44,5:51:23,8.177204382677987,2
03,0:22:5,25:18:35,1.4542062229051198,21
