Month,Activity time,Total period,% Period,Period rank
5,61:6:28,1026:41:54,5.95187269656726,4
1,58:26:38,822:13:15,7.10805254738606,3
3,50:11:4,918:22:28,5.464486163353849,2
12,47:43:17,775:0:18,6.157558840122179,3
2,43:59:48,796:2:41,5.526908908314406,3
4,39:47:55,937:21:26,4.245831809644491,3
11,36:23:29,816:36:28,4.456409781929853,3
7,35:50:21,768:41:58,4.662312029192163,4
6,34:46:34,558:20:36,6.2284456596797275,1
10,33:40:45,979:13:30,3.439369569472457,4
8,27:56:45,707:57:7,3.9474195321637886,3
9,25:33:59,825:47:31,3.0959842925192014,6
