Y-M-D,Activity time,Total period,% Period,Period rank
2013-01-11,4:11:31,9:34:48,43.757248898167475,1
2013-04-01,4:2:21,7:8:10,56.60179057999221,1
2013-02-24,3:51:9,8:7:47,47.3878429630642,1
2013-08-09,3:51:5,6:4:16,63.43795754026355,1
2014-05-18,3:20:33,10:3:31,33.23023390682389,1
2013-01-09,3:14:30,7:40:36,42.22752930959618,1
2014-04-24,3:8:49,4:56:42,63.63891697562072,1
2014-05-17,3:5:10,12:35:22,24.513481311504346,2
2014-05-26,3:4:52,10:36:24,29.048816258118585,1
2015-12-14,2:56:45,6:53:51,42.70871088558656,1
2013-05-15,2:54:26,9:28:34,30.67948642785953,1
2014-06-11,2:52:56,5:50:38,49.320277592927084,1
2014-06-12,2:51:45,9:45:16,29.345597448456544,1
2013-03-18,2:51:8,5:50:11,48.86963971253153,1
2014-05-21,2:49:8,5:21:30,52.607568688439606,1
2014-07-26,2:44:58,5:14:33,52.44529221639379,1
2013-01-07,2:40:30,5:26:12,49.202942979767016,1
2014-06-08,2:35:48,9:40:13,26.85203803176974,1
2013-02-25,2:35:20,8:1:34,32.25583166055237,1
2013-05-14,2:33:0,9:44:1,26.197882480522818,2
2013-03-20,2:30:31,6:17:3,39.91955089952703,1
2014-05-22,2:30:9,7:10:10,34.90507555211158,1
2013-12-11,2:30:3,6:56:20,36.04083266613291,1
2013-01-10,2:30:0,8:1:32,31.150491485532328,1
2014-07-18,2:28:51,8:50:23,28.064607359456996,1
2013-02-05,2:28:19,7:13:15,34.23350644354684,1
2013-11-03,2:27:13,6:32:19,37.524958579378904,1
2013-04-10,2:26:35,5:46:53,42.25724306923557,1
2013-02-27,2:25:33,6:26:14,37.68447397945974,1
2013-04-14,2:24:52,5:20:18,45.228431678634614,1
2014-06-03,2:24:37,9:52:8,24.42299031749606,2
2013-03-19,2:21:33,7:7:5,33.14341463414634,1
2014-05-19,2:19:30,9:51:29,23.584772746484827,1
2014-05-27,2:15:21,7:51:16,28.72046965624558,1
2013-03-21,2:14:54,7:23:16,30.43314784178072,2
2014-06-27,2:12:33,4:6:14,53.83105455529985,1
2014-05-12,2:11:25,9:43:35,22.518920462658862,1
2014-08-13,2:10:36,5:13:31,41.65647759289777,1
2013-03-06,2:8:29,6:43:19,31.856688292904664,1
2013-02-26,2:8:26,6:20:55,33.71691096040254,1
2013-01-16,2:7:9,6:40:32,31.74517310252996,1
2013-03-12,2:6:58,5:51:49,36.088872045099244,1
2014-06-05,2:6:30,4:36:30,45.750452079566,1
2014-06-13,2:4:30,6:14:37,33.23397250522756,1
2013-01-08,2:4:23,5:13:48,39.637773528786916,2
2013-05-13,2:3:47,5:44:20,35.9486931268151,1
2013-12-08,2:3:38,7:47:0,26.473947180585295,1
2013-03-11,2:3:29,7:20:30,28.032538781687478,1
2013-12-10,2:3:11,10:0:28,20.514599755745532,1
2014-12-28,2:3:0,5:31:24,37.11526855763428,1
2013-03-13,1:58:41,4:13:9,46.88261241688064,1
2014-07-13,1:57:43,7:5:55,27.6384269223244,1
2013-02-28,1:56:58,5:57:18,32.73626271107379,1
2013-03-26,1:55:49,4:32:28,42.506728651822854,1
2014-07-02,1:55:23,5:49:51,32.980801295793434,1
2013-11-27,1:55:18,6:17:48,30.518793012175756,1
2014-08-09,1:54:35,3:28:52,54.85955952760932,1
2013-04-16,1:52:53,5:49:9,32.33089884958709,2
2013-04-15,1:51:37,6:43:55,27.633587786259543,1
2013-03-03,1:50:35,3:20:29,55.15836727907557,1
2014-05-31,1:49:53,5:8:7,35.66289825282631,1
2014-07-27,1:49:23,7:31:59,24.200744865223644,2
2013-12-05,1:48:34,8:24:16,21.529613960867266,1
2013-04-08,1:48:8,5:19:25,33.85337855465693,2
2013-02-23,1:47:40,6:42:37,26.74173117522871,2
2014-08-01,1:45:54,4:18:35,40.953915565581696,1
2014-03-24,1:45:12,7:4:55,24.75779564620514,1
2014-08-02,1:45:1,14:18:58,12.225930381466103,2
2013-02-21,1:44:6,4:38:22,37.396718955813675,1
2014-04-20,1:42:13,5:24:47,31.472263560322265,1
2013-11-20,1:42:4,5:11:36,32.75566966195978,1
2013-01-17,1:41:28,6:41:14,25.288693195979064,1
2014-07-24,1:40:56,6:2:58,27.80787951143356,1
2015-01-04,1:40:50,2:42:4,62.217194570135746,1
2013-02-19,1:40:42,7:5:38,23.658861304722375,1
2014-05-29,1:39:50,7:36:7,21.88767493696788,1
2014-12-27,1:39:24,6:0:13,27.59450330819414,2
2014-05-10,1:37:59,9:22:1,17.43423979122802,2
2014-05-20,1:37:24,3:44:43,43.3434695542535,1
2014-06-04,1:37:18,6:22:46,25.42018636244884,2
2015-01-01,1:37:6,3:42:49,43.57842770588675,1
2014-07-06,1:36:56,8:19:52,19.39183782341958,3
2013-12-01,1:36:54,10:28:32,15.416843445057276,2
2013-11-24,1:36:39,8:36:40,18.706451612903226,1
2013-01-15,1:34:39,5:45:25,27.401688781664657,2
2014-05-05,1:34:35,12:7:44,12.99697691462074,2
2014-09-07,1:34:11,6:42:36,23.393773803609868,1
2014-01-09,1:32:54,8:2:8,19.268528761061948,1
2013-04-25,1:31:26,2:55:32,52.08887200911508,1
2014-02-16,1:31:5,5:8:3,29.567710869447602,2
2013-12-23,1:31:4,11:21:7,13.370200895588127,3
2013-01-26,1:29:13,4:1:53,36.884172810583614,1
2014-04-14,1:28:31,5:22:15,27.468321696405482,1
2014-05-24,1:28:27,5:59:43,24.588796738173563,1
2013-11-26,1:28:3,5:22:59,27.261468600030963,1
2013-03-22,1:27:58,5:47:56,25.282621191799194,2
2015-01-03,1:27:35,3:18:45,44.067085953878404,1
2013-02-20,1:26:32,6:24:57,22.479109841104904,2
2014-05-14,1:26:24,5:53:57,24.410227433253283,2
2014-08-31,1:25:38,2:2:12,70.07637752318604,1
2013-03-24,1:25:4,3:33:17,39.88434789403767,2
2013-02-04,1:24:50,7:38:6,18.51851851851852,2
2013-10-26,1:24:24,5:28:28,25.695149177998783,1
2013-05-30,1:24:20,4:36:21,30.51685664314577,2
2013-11-05,1:23:22,7:57:46,17.449243005651294,1
2013-10-29,1:22:25,5:15:28,26.125316990701606,1
2013-03-04,1:22:11,5:10:18,26.4851219250188,2
2013-03-07,1:21:40,5:52:20,23.178807947019866,2
2013-03-23,1:21:26,2:27:32,55.19656574785359,1
2013-02-06,1:21:22,5:19:43,25.449616848251054,2
2013-10-17,1:20:54,6:29:2,20.795133236226544,1
2014-12-07,1:20:28,9:15:45,14.478932373669215,3
2016-08-01,1:19:28,8:15:24,16.04090970259723,3
2013-01-24,1:19:25,7:35:23,17.439519818467957,2
2013-12-04,1:18:56,6:53:53,19.071396931502438,2
2014-05-11,1:18:40,11:18:27,11.595057361141818,3
2013-09-23,1:18:23,9:28:50,13.779665983006153,2
2013-03-29,1:17:50,4:28:41,28.96842627628559,1
2014-05-23,1:16:48,6:13:37,20.555828166123923,2
