Y-M,Activity time,Total period,% Period,Period rank
2014-05,45:10:45,223:25:53,20.22059966208866,1
2013-03,36:9:24,123:49:36,29.199418542048026,1
2013-01,34:40:48,121:50:58,28.46135257991419,1
2014-07,29:35:23,154:15:24,19.18213511391548,2
2014-06,28:41:31,156:40:45,18.312545984806178,1
2013-02,27:19:8,101:22:15,26.949456752572377,1
2013-12,25:6:43,209:8:17,12.007352931410272,1
2013-11,24:4:20,159:52:51,15.056352734936263,1
2013-04,19:31:42,66:4:25,29.555420091228218,1
2014-08,17:35:54,114:12:41,15.40856258254066,2
2013-10,16:45:12,119:9:56,14.058872343798077,3
2014-04,14:53:20,127:41:3,11.660716655462807,2
2014-09,14:1:52,189:47:12,7.393096342091705,3
2014-12,13:9:43,114:31:0,11.493474991510212,1
2014-10,12:2:41,198:38:37,6.063483318114378,5
2014-02,11:24:4,102:21:42,11.138067093258652,2
2013-05,11:1:25,43:8:44,25.54981844402668,1
2015-01,10:58:55,128:28:27,8.547978733294848,2
2014-03,9:50:29,151:46:46,6.484006398172787,4
2014-01,9:15:20,119:51:56,7.72161403053421,3
2015-12,7:52:37,81:46:15,9.632951167728239,3
2013-09,7:22:0,86:33:46,8.510201331082772,4
2014-11,6:56:13,138:12:14,5.019355461134315,5
2013-08,5:53:29,64:19:53,9.157876101609288,2
2015-11,4:50:57,142:34:4,3.4013062013389344,8
2015-10,4:14:5,144:51:57,2.9232028869624576,11
2015-02,4:1:11,98:43:1,4.071967831707378,6
2016-06,3:35:40,88:21:30,4.068031060391713,8
2015-04,3:29:14,93:57:34,3.7114121340767587,7
2015-05,3:27:50,92:15:39,3.7544522022406284,6
2015-09,3:13:48,109:46:24,2.9424268188995506,11
2016-01,2:42:33,137:10:29,1.9749751432175915,13
2015-03,2:26:57,88:11:51,2.7769116660525146,10
2015-07,2:23:54,90:57:34,2.636706224385715,11
2015-08,2:16:8,74:44:3,3.0359459268592754,9
2018-07,1:49:45,123:58:15,1.475481464054045,12
2016-08,1:36:22,160:49:39,0.9986545280571488,19
2016-12,1:18:25,147:40:30,0.8850140135056336,21
2016-04,1:17:58,170:40:8,0.7613833153214151,26
2016-03,1:15:9,110:24:10,1.134482324820732,15
2018-06,1:0:18,86:6:22,1.167164545038099,17
2013-07,0:56:30,142:49:20,0.6593278356931694,19
2016-05,0:55:40,202:24:32,0.45836809977603094,28
2015-06,0:55:17,83:12:2,1.1074311736700475,19
2016-02,0:42:40,126:38:39,0.5615032494807192,31
2017-01,0:39:58,177:57:30,0.37430734410364475,44
2016-07,0:37:24,129:9:0,0.48264292166731193,25
2016-10,0:35:49,190:43:53,0.312976510013355,48
2018-04,0:35:41,178:19:33,0.33350312240545943,35
2017-02,0:32:45,154:8:57,0.3540942485363203,36
2018-08,0:32:34,180:54:49,0.30002042104196447,38
2016-11,0:31:43,132:28:1,0.3990513356581621,37
2016-09,0:30:56,168:28:42,0.3060070368428515,47
2017-05,0:28:13,202:44:8,0.23196610801153117,46
2017-07,0:27:25,62:38:54,0.7293800491278477,25
2017-03,0:26:14,137:11:31,0.318693800858894,41
2017-06,0:22:32,28:42:11,1.308416641666102,19
2018-09,0:16:57,132:50:25,0.21266140415076584,49
2013-06,0:11:16,10:54:25,1.7216350439322552,9
2017-12,0:11:6,93:49:5,0.1971901878636249,50
2018-01,0:9:4,79:51:57,0.18920620345927372,54
2017-09,0:8:26,138:21:2,0.10159377748151836,64
2018-12,0:4:43,128:5:11,0.06137350876470091,81
2017-10,0:2:58,153:46:20,0.03215434083601286,133
2019-03,0:2:51,159:17:46,0.029818681491143327,126
2018-05,0:2:35,157:22:21,0.02735900843893028,128
2017-08,0:2:18,112:56:2,0.033943162420491835,96
2017-11,0:0:16,112:3:24,0.003966247236021458,305
