Y-W,Activity time,Total period,% Period,Period rank
2013w02,16:34:52,39:37:11,41.85064957828242,1
2013w12,14:12:34,38:26:20,36.966324613383435,1
2014w20,12:59:55,57:16:33,22.694756854015413,1
2014w21,12:48:5,44:16:55,28.908822883668414,1
2013w09,11:51:35,33:36:30,35.288040333911894,1
2013w08,11:25:13,37:25:8,30.520087893814768,1
2014w23,11:3:58,43:22:55,25.50856411077317,1
2014w24,10:40:14,46:21:20,23.018935762224352,1
2014w22,9:53:2,41:39:43,23.724022055832993,1
2013w15,9:27:23,32:53:42,28.747192244684264,1
2014w30,8:46:47,34:55:11,25.14258895402948,1
2014w31,8:0:14,42:37:24,18.778186178671046,2
2013w20,7:46:42,27:18:9,28.489454567652533,1
2013w48,7:43:45,53:38:38,14.408289232489981,1
2013w50,7:37:19,46:46:32,16.2947170886978,1
2013w10,7:32:38,32:9:48,23.454934880989395,2
2013w03,7:22:7,26:11:38,28.131031411058558,1
2014w19,7:19:6,62:39:58,11.678295020345924,3
2013w11,7:18:36,22:14:19,32.87075781611062,1
2013w44,7:10:28,33:21:32,21.50684475235653,1
2013w49,7:4:24,46:5:16,15.347525253742857,2
2013w47,6:54:27,36:49:18,18.759335536142668,1
2014w27,6:45:2,37:25:13,18.03983282979371,2
2013w06,6:39:30,32:34:45,20.43739608645607,1
2013w04,6:26:38,33:25:1,19.283297728198434,1
2014w28,6:20:39,36:42:44,17.280802639145303,2
2014w32,6:4:51,22:28:25,27.057660218775105,1
2014w17,5:56:15,36:53:16,16.096117352932318,1
2014w07,5:38:41,34:45:14,16.241987307575492,2
2013w39,5:29:22,46:15:51,11.865434611620465,4
2015w01,5:15:55,11:40:45,45.08264954215721,1
2013w52,5:8:18,47:21:34,10.849648667988316,2
2014w29,4:59:53,28:30:44,17.529519504306144,2
2014w16,4:56:59,33:44:39,14.66837889676405,2
2014w52,4:51:50,22:16:12,21.840542832909247,1
2013w32,4:42:3,8:27:4,55.62384959242703,1
2014w02,4:35:9,46:46:53,9.802687440993273,3
2013w45,4:33:8,30:1:48,15.158915158915159,1
2013w41,4:30:8,21:27:24,20.982859510123763,2
2013w05,4:25:16,26:35:26,16.626621816434408,2
2013w14,4:25:5,10:50:42,40.73817939654731,1
2014w01,4:20:58,51:52:6,8.385548879106285,4
2013w13,4:20:18,24:8:40,17.968246663598713,1
2014w13,4:15:12,28:10:57,15.092107986634732,2
