Hour,Activity time,Total period,% Period,Period rank
23,4:47:24,893:45:39,0.5359375597312107,36
22,4:11:27,974:50:8,0.42990156744385377,43
14,3:58:38,571:37:27,0.695775730654417,33
15,3:48:20,600:28:13,0.6337625185444927,35
16,3:14:39,617:12:53,0.5256139476042239,39
19,3:7:7,605:18:5,0.5152162490219518,39
11,2:46:48,437:35:59,0.6352837670651579,30
00,2:25:24,654:16:43,0.37038247807275443,52
17,2:15:5,550:49:32,0.4087299265950301,47
09,2:10:31,189:54:57,1.1453904288010626,16
21,1:52:50,887:52:29,0.21180415530344152,66
13,1:51:45,507:31:50,0.3669729791857086,52
12,1:46:58,381:54:58,0.4667982643076068,39
20,1:43:21,772:7:9,0.22308732568267203,65
18,1:42:14,446:50:8,0.38132347967932523,45
08,1:29:31,100:37:37,1.482649058541312,17
01,1:27:30,295:57:11,0.4927583297275938,38
10,0:45:29,285:17:5,0.26571894549791875,64
02,0:26:33,94:55:28,0.4661602209944751,42
07,0:16:36,17:5:12,1.6191962543893874,18
06,0:8:11,8:21:27,1.6319340578987602,16
