Month,Activity time,Total period,% Period,Period rank
1,6:55:18,822:13:15,0.8418257463272742,24
2,5:49:38,796:2:41,0.7320219655442307,23
11,4:46:14,816:36:28,0.5841917852579845,32
9,4:27:17,825:47:31,0.5394484957369206,36
12,4:6:45,775:0:18,0.53064173779524,39
3,3:56:33,918:22:28,0.4292911267130207,36
4,3:40:1,937:21:26,0.39120031910044967,44
5,3:30:18,1026:41:54,0.341385574146252,44
8,3:18:28,707:57:7,0.46723196450480986,39
6,2:26:39,558:20:36,0.43775335367127755,47
10,2:22:5,979:13:30,0.24182956476351763,61
7,0:57:5,768:41:58,0.12376604351216593,83
