Y-M-D,Activity time,Total period,% Period,Period rank
2016-08-31,1:46:30,5:39:33,31.365041967309676,1
2017-02-23,0:50:52,6:7:25,13.844409163075527,1
2017-01-08,0:48:46,2:14:0,36.39303482587065,1
2016-12-09,0:43:36,8:32:59,8.49930147178271,3
2016-09-02,0:39:34,4:31:12,14.589478859390363,2
2016-09-07,0:38:27,2:32:0,25.29605263157895,1
2017-01-03,0:36:54,6:38:18,9.26437358774793,4
2018-06-20,0:36:33,7:3:47,8.624690289849372,5
2017-03-06,0:34:21,7:28:14,7.663419350040901,5
2017-01-10,0:32:32,7:7:25,7.611620198869176,3
2016-09-03,0:32:21,5:53:29,9.151775189777924,4
2018-01-14,0:31:58,5:30:55,9.660035255603123,2
2016-09-06,0:29:46,4:26:33,11.167385731257426,2
2017-04-21,0:28:47,5:15:51,9.11297556857158,2
2017-01-18,0:28:15,8:26:49,5.57400769509027,6
2016-12-13,0:28:8,13:14:4,3.542943497607254,7
2017-05-15,0:27:2,7:25:46,6.064458236745682,5
2017-01-22,0:26:44,3:1:7,14.760283426888746,1
2017-03-15,0:26:11,1:49:36,23.88990267639903,2
2017-06-12,0:26:10,3:32:2,12.340826914007232,2
2017-01-09,0:25:23,5:10:43,8.169286059110657,3
2016-12-01,0:23:38,10:0:43,3.934189717837028,7
2017-04-28,0:23:11,6:46:37,5.70152067877198,4
2016-10-03,0:21:19,7:44:50,4.585873072785945,10
2018-03-07,0:20:59,5:27:54,6.3993087323370945,3
2016-11-28,0:20:58,6:25:37,5.437178545187362,4
2016-11-23,0:20:52,0:46:43,44.66642882625758,1
2017-11-28,0:20:51,4:18:2,8.080351375791242,5
2018-08-13,0:20:37,5:20:38,6.429982326645181,6
2016-12-30,0:20:24,3:3:14,11.133345461160634,2
2016-11-20,0:20:18,3:49:50,8.83248730964467,4
2018-08-15,0:20:10,11:24:2,2.948199405487062,11
2017-02-08,0:19:53,7:1:51,4.713365730314883,4
2017-10-23,0:19:31,6:1:18,5.401789833010425,8
2018-03-03,0:19:6,7:26:30,4.277715565509518,3
2017-02-06,0:18:47,5:27:15,5.739750445632799,5
2017-11-27,0:18:11,2:45:5,11.014639071176173,3
2017-01-24,0:18:11,4:4:8,7.448115783724741,3
2018-09-09,0:17:50,2:30:1,11.887568047994668,2
2017-04-18,0:17:42,8:4:52,3.650488106695999,11
2017-04-24,0:17:33,4:39:56,6.269349845201238,6
2016-11-14,0:17:24,7:42:6,3.7654187405323523,7
2017-05-09,0:17:19,6:15:26,4.6124478380538045,3
2016-09-10,0:17:3,7:7:31,3.988148610190636,9
2017-04-11,0:16:59,5:59:37,4.722621309727951,7
2017-01-31,0:16:44,8:28:47,3.288891800701019,9
2017-01-28,0:16:23,5:32:44,4.923862953315969,3
2017-04-06,0:16:23,2:48:20,9.732673267326733,4
2017-05-30,0:16:22,5:41:14,4.796327048940119,6
2016-11-27,0:16:21,8:11:24,3.3272283272283274,6
2017-02-10,0:16:9,9:25:18,2.856890146824695,8
2016-11-04,0:16:8,2:21:19,11.416440617997406,2
2018-05-20,0:16:7,8:11:30,3.2790776534418447,11
2017-02-26,0:15:59,3:2:2,8.780443142281634,4
2017-02-28,0:15:56,8:42:40,3.048469387755102,11
2017-04-13,0:15:41,3:42:43,7.041831923969169,4
2016-12-08,0:15:37,12:16:41,2.119861541594082,10
2018-01-23,0:15:17,2:6:8,12.116807610993657,3
2017-02-16,0:15:11,3:59:34,6.337832197022402,6
2016-10-23,0:15:9,6:10:37,4.087781625219229,7
2017-03-22,0:15:9,3:16:16,7.719089673913044,3
2018-06-11,0:15:3,3:52:12,6.481481481481482,3
2017-12-14,0:15:1,8:37:31,2.901677884770217,6
2017-02-12,0:14:40,4:43:59,5.1646223369916076,4
2016-11-15,0:14:38,10:1:29,2.4328742830225276,12
2017-12-06,0:14:34,7:26:4,3.2655806306979525,7
2017-02-24,0:14:31,3:36:46,6.696909118868215,7
2017-01-11,0:14:27,6:22:1,3.782557480040138,6
2018-07-09,0:14:21,4:48:56,4.966543608675589,6
2017-02-21,0:14:15,8:32:14,2.7819353159367477,7
2017-03-14,0:13:55,3:5:30,7.502246181491465,4
2017-01-29,0:13:39,3:22:55,6.7268993839835725,4
2016-12-23,0:13:34,0:14:45,91.9774011299435,1
2017-02-27,0:13:28,6:11:46,3.6223437640096834,10
2017-02-20,0:13:27,6:57:40,3.220271348762969,9
2017-02-18,0:13:19,5:7:40,4.32827735644637,8
2017-02-05,0:12:58,1:27:47,14.771217011581545,2
2018-05-07,0:12:41,4:43:24,4.475417548812044,6
2017-03-19,0:12:33,0:52:35,23.86687797147385,2
2018-04-05,0:12:2,7:41:13,2.609041303797926,8
2018-06-26,0:12:0,5:51:35,3.4131310737141503,6
2018-06-18,0:11:58,3:5:36,6.447557471264368,6
2016-11-19,0:11:32,2:38:5,7.295730100158145,4
2017-02-19,0:11:30,8:18:6,2.308773338687011,10
2017-01-14,0:11:29,5:12:45,3.6717292832400745,5
2018-05-21,0:11:28,3:38:4,5.258330785692449,4
2016-10-25,0:11:25,5:32:40,3.43186372745491,8
2018-02-02,0:11:17,3:0:9,6.263299102599685,4
2017-05-16,0:11:7,11:3:56,1.674364896073903,12
2018-05-29,0:11:5,2:30:47,7.350502929147784,2
2017-01-16,0:11:1,6:59:34,2.6257249543179473,10
