Y-W,Activity time,Total period,% Period,Period rank
2016w35,3:10:16,34:3:30,9.310822934507788,3
2017w08,1:49:5,42:13:42,4.305297917406691,6
2017w01,1:45:21,43:25:0,4.044145873320537,9
2017w06,1:38:33,45:32:43,3.6063014216622045,6
2017w02,1:30:37,36:58:54,4.083855363768834,5
2016w46,1:27:31,42:59:34,3.3926886944835695,10
2016w36,1:26:40,30:40:39,4.708481605230037,5
2016w48,1:17:44,48:5:17,2.69413171438969,7
2017w03,1:17:28,35:10:21,3.6707971031661413,7
2017w17,1:15:19,42:42:57,2.9386709325841966,8
2016w49,1:9:57,64:30:24,1.8073067383216206,13
2017w04,1:3:2,45:17:19,2.319690380829127,10
2017w07,1:2:27,35:14:10,2.953882538431218,8
2017w11,1:1:27,8:44:12,11.72262495230828,2
2017w20,1:0:51,55:15:48,1.8351529042764945,12
2017w09,0:58:57,35:44:54,2.748379877849783,10
2017w10,0:57:14,42:33:3,2.241763119928452,11
2017w16,0:52:33,49:59:18,1.7520754842796653,13
2018w25,0:49:10,25:51:52,3.1682275109545492,9
2016w47,0:47:9,23:46:56,3.30428891795926,8
2018w33,0:45:17,67:42:33,1.1146529478611544,15
2017w15,0:45:3,28:6:1,2.671978331570467,12
2017w48,0:44:50,22:27:43,3.3266141498584023,9
2016w50,0:39:17,38:9:57,1.7154668588106,13
2016w38,0:35:49,36:41:6,1.6272166946829616,17
2017w24,0:33:22,12:37:30,4.404840484048405,6
2018w24,0:33:3,29:28:10,1.869167687812235,11
2017w05,0:32:6,31:55:6,1.6761526813221241,14
2018w02,0:31:58,28:22:0,1.8781825303564434,13
2017w50,0:29:56,39:3:4,1.2775280259488988,21
2016w51,0:28:59,3:9:0,15.335097001763668,2
2017w19,0:27:37,49:26:50,0.9308465816527162,18
2017w43,0:26:39,41:25:55,1.0720391539003051,21
2018w09,0:26:23,45:21:42,0.9693696341747192,24
2018w26,0:23:59,25:50:5,1.5472286436213107,13
2016w45,0:22:20,25:55:24,1.4358578715014358,17
2016w40,0:21:19,39:6:19,0.9085161849423564,26
2018w10,0:21:5,42:44:26,0.8221439434312974,22
2017w14,0:20:40,21:51:6,1.576284544784278,15
2016w52,0:20:28,15:25:50,2.2106210621062106,7
2017w21,0:20:26,54:23:54,0.6260404219900528,23
2018w28,0:20:17,28:41:49,1.178019340038138,14
2018w20,0:19:57,34:5:2,0.9755342211210901,17
2016w43,0:19:56,44:41:16,0.7434297222705686,27
2018w22,0:19:48,6:19:32,5.216933075707009,6
2016w44,0:19:31,22:59:55,1.4143366145298628,16
2018w36,0:17:50,10:31:49,2.822548735128861,12
2018w40,0:17:39,20:34:41,1.4295163402221893,15
2017w22,0:17:30,14:43:48,1.9800859923059515,12
2018w19,0:17:24,51:23:43,0.5642541738054188,21
2017w12,0:16:54,30:2:28,0.9376040241151016,10
2018w34,0:16:15,33:20:32,0.8122833910957078,26
2016w42,0:16:0,46:31:55,0.5730830074918664,31
2018w04,0:15:17,9:59:45,2.5482840072252326,7
2018w08,0:15:14,44:26:46,0.5712285789282902,34
2017w49,0:14:34,38:11:56,0.6355624072835161,31
2017w18,0:14:34,32:48:4,0.7401510788929915,19
2016w39,0:13:27,52:13:27,0.42923933683320303,35
2018w21,0:13:11,30:22:34,0.7233388810651645,13
2018w05,0:12:24,9:35:14,2.1556469838326477,7
2018w14,0:12:2,41:33:36,0.48256870922895945,28
2018w32,0:12:1,55:34:19,0.3603936838632603,28
2017w35,0:11:41,13:32:8,1.4385979313741586,12
2018w31,0:11:7,32:54:43,0.5629499590658575,26
2018w29,0:11:1,34:59:53,0.5246323208432214,24
2017w41,0:10:48,33:55:52,0.5304866068504813,25
2017w26,0:10:44,5:9:41,3.465906033044508,8
2018w42,0:10:24,42:34:3,0.40719641353928077,33
2016w37,0:10:10,43:46:9,0.387131986621734,37
2018w45,0:10:3,29:44:55,0.5630514963350296,28
2016w41,0:9:56,42:44:8,0.38739535125578495,33
2017w13,0:9:56,43:44:15,0.3785208472261916,31
2018w16,0:9:43,31:25:46,0.5152634649037526,33
2018w30,0:9:35,40:44:23,0.3920552559268527,22
2018w11,0:9:15,44:42:10,0.34487044056422045,31
2017w45,0:8:31,33:44:41,0.4206419110807451,41
2018w03,0:8:28,24:17:41,0.5808303129394816,25
2018w37,0:8:11,29:29:43,0.4624092368834936,28
2018w07,0:7:2,36:48:58,0.3183992515354087,36
2017w52,0:6:23,4:49:12,2.207238358690641,9
2017w46,0:6:13,26:57:45,0.3842785762118168,41
2017w23,0:5:50,9:22:47,1.0365149406225012,14
2018w43,0:4:51,57:5:41,0.1415775927917058,44
2018w12,0:4:46,24:30:44,0.3241013553329405,42
2018w15,0:4:41,45:20:55,0.17212336528743377,44
2018w41,0:4:33,25:50:45,0.29340641625020153,33
2017w37,0:4:14,39:36:48,0.1781106249298777,38
2017w27,0:3:34,13:52:39,0.42835124802337915,32
2017w44,0:2:57,31:16:27,0.15721175624183964,44
2018w38,0:2:36,37:30:4,0.11555213178868774,68
2017w51,0:1:8,9:44:51,0.19378188139408964,44
2016w27,0:1:6,11:36:19,0.15797410182148927,54
2018w44,0:0:48,50:18:45,0.02650103519668737,93
2018w27,0:0:43,8:17:0,0.1441985244802146,41
2018w47,0:0:38,25:39:22,0.04114246118533596,88
2018w50,0:0:25,40:19:41,0.017219884144619474,112
2017w25,0:0:9,2:47:38,0.08948101014118115,17
2018w18,0:0:8,42:28:3,0.005232759692052092,132
2016w34,0:0:8,41:30:33,0.005353569827280453,190
2019w06,0:0:7,11:3:13,0.017591033598874175,88
2017w36,0:0:3,16:11:25,0.0051471219010036885,89
2019w24,0:0:3,37:19:59,0.0022321594654722133,208
