Hour,Activity time,Total period,% Period,Period rank
22,93:55:44,974:50:8,9.635357302428217,1
21,93:44:31,887:52:29,10.558014784993754,1
20,85:43:59,772:7:9,11.103604114074216,1
23,71:46:3,893:45:39,8.029832738624147,1
19,53:22:54,605:18:5,8.819022663182023,1
13,46:55:1,507:31:50,9.244161544734581,1
12,44:51:14,381:54:58,11.744434859895062,1
15,43:30:34,600:28:13,7.2458947685911,1
10,43:23:31,285:17:5,15.21004844088508,1
16,42:55:27,617:12:53,6.954494946608262,1
14,41:53:51,571:37:27,7.329553654863554,1
11,41:28:10,437:35:59,9.476570102433794,1
00,39:0:29,654:16:43,5.961994614085148,3
17,35:47:44,550:49:32,6.498528471405547,2
18,30:39:7,446:50:8,6.85978187352046,2
09,22:51:39,189:54:57,12.037349878674325,1
01,11:54:0,295:57:11,4.0209079705771655,3
08,9:8:33,100:37:37,9.085538719748687,1
07,2:1:24,17:5:12,11.84159188451034,2
02,1:16:1,94:55:28,1.3346872366326434,19
06,0:56:34,8:21:27,11.28061953667697,2
05,0:28:37,5:51:23,8.144002276715838,3
03,0:28:30,25:18:35,1.8767491631454756,17
04,0:16:10,6:49:4,3.9520860495436767,5
