Month,Activity time,Total period,% Period,Period rank
10,108:33:39,979:13:30,11.086403363203894,1
5,102:14:5,1026:41:54,9.95762035478343,3
3,91:2:0,918:22:28,9.912441911251403,1
9,85:21:22,825:47:31,10.33627316000701,1
2,85:10:23,796:2:41,10.699531468255726,1
4,75:48:15,937:21:26,8.087009399357413,1
11,74:54:32,816:36:28,9.173178474094051,1
1,71:42:12,822:13:15,8.720690406571633,2
12,59:2:19,775:0:18,7.617836157329451,1
8,55:26:42,707:57:7,7.831746269658134,2
7,29:45:56,768:41:58,3.872196834624716,5
6,19:18:22,558:20:36,3.4577490154405193,5
