Y-M-D,Activity time,Total period,% Period,Period rank
2016-07-31,5:49:43,8:33:11,68.14653632554968,1
2016-05-24,5:27:41,10:12:13,53.52407916587265,1
2013-08-30,4:17:27,6:9:58,69.5873502117308,1
2014-05-10,4:13:34,9:22:1,45.11728596423593,1
2015-01-25,4:12:11,8:27:16,49.714154290971216,1
2014-05-07,4:11:46,7:12:7,58.26358622285648,1
2014-11-03,3:55:40,9:33:11,41.11540810095664,1
2016-05-25,3:52:30,5:52:6,66.03237716557796,1
2014-03-18,3:52:8,8:24:24,46.021675918583135,1
2018-12-05,3:49:27,7:46:55,49.1415313225058,1
2016-12-10,3:49:21,8:40:49,44.03660917149349,1
2016-05-26,3:46:45,9:15:38,40.80928669986202,1
2016-02-03,3:46:19,7:39:48,49.220675656082356,1
2016-11-17,3:39:59,8:33:27,42.84415879507904,1
2016-08-15,3:37:18,7:10:48,50.44103992571959,1
2015-03-31,3:24:31,5:56:6,57.432369184685946,1
2016-07-30,3:21:35,7:15:5,46.3321202834706,1
2015-01-31,3:16:20,8:24:30,38.91641889659729,1
2016-09-17,3:4:17,7:55:22,38.766566159455856,1
2013-12-29,3:4:15,5:43:54,53.57662111078802,1
2014-11-02,3:3:31,10:36:2,28.853309574969867,2
2013-10-07,3:0:51,5:14:4,57.58331564423689,1
2014-05-09,2:58:41,7:55:0,37.617543859649125,1
2014-10-21,2:57:8,6:51:52,43.007445775331824,1
2015-04-18,2:54:14,6:4:12,47.840014643968516,1
2013-05-14,2:51:4,9:44:1,29.29140150109871,1
2015-01-18,2:50:5,6:27:37,43.87926215762996,1
2013-03-08,2:49:23,4:32:23,62.18564523037386,1
2013-01-31,2:49:16,5:31:39,51.03774058997939,1
2013-09-04,2:44:57,4:33:33,60.29976238347651,1
2013-10-08,2:44:15,3:58:12,68.95465994962217,1
2014-02-09,2:43:35,5:58:27,45.636304459013346,1
2016-11-27,2:42:33,8:11:24,33.07895807895808,1
2013-09-03,2:41:56,4:51:48,55.49463102581677,1
