Y-M,Activity time,Total period,% Period,Period rank
2014-10,35:32:45,198:38:37,17.894274643170277,1
2014-05,34:57:43,223:25:53,15.64773177945504,2
2013-03,29:26:19,123:49:36,23.774047952334804,2
2016-10,29:25:34,190:43:53,15.428037976619242,1
2016-09,28:11:53,168:28:42,16.736903195597193,1
2013-10,27:26:19,119:9:56,23.025622616527894,2
2016-05,26:59:14,202:24:32,13.333022265161828,2
2016-08,26:17:7,160:49:39,16.343770672166002,1
2016-07,26:12:22,129:9:0,20.291220372521185,2
2014-03,24:45:47,151:46:46,16.315157593437846,1
2013-09,24:29:43,86:33:46,28.297703015794575,1
2015-01,22:52:58,128:28:27,17.811189884693636,1
2013-08,22:27:32,64:19:53,34.911245158532424,1
2013-12,22:22:29,209:8:17,10.698541766005178,2
2013-01,21:12:17,121:50:58,17.402395488056754,2
2014-02,21:8:52,102:21:42,20.659860733455993,1
2014-04,21:0:30,127:41:3,16.45335822113157,1
2013-11,20:38:47,159:52:51,12.913611005418966,2
2014-09,20:33:15,189:47:12,10.830142616270901,2
2014-11,19:51:19,138:12:14,14.36665634911383,2
2016-11,19:28:55,132:28:1,14.707023345446768,1
2015-02,18:53:11,98:43:1,19.131861298156064,1
2013-02,17:9:13,101:22:15,16.921643580363625,2
2015-04,16:55:55,93:57:34,18.020481649884406,1
2015-05,16:11:32,92:15:39,17.550483381957555,1
2016-12,15:13:3,147:40:30,10.304723209751142,2
2014-01,14:36:22,119:51:56,12.185411433179766,1
2013-04,14:7:53,66:4:25,21.387341559287833,2
2015-03,12:31:10,88:11:51,14.194783802765889,1
2017-02,12:21:42,154:8:57,8.019288676011872,3
2015-11,11:22:30,142:34:4,7.978661221563233,3
2016-03,11:7:51,110:24:10,10.082022895961757,3
2016-04,10:41:47,170:40:8,6.267333758675017,3
2016-02,10:35:5,126:38:39,8.357844266196407,3
2014-12,9:53:47,114:31:0,8.6418764857129,3
2019-03,9:12:37,159:17:46,5.7818597789581245,4
2015-10,8:57:31,144:51:57,6.184074536400539,3
2014-06,8:54:34,156:40:45,5.686425728443653,5
2013-05,8:5:51,43:8:44,18.767865880353327,2
2016-01,8:1:3,137:10:29,5.844735728359412,4
2016-06,7:2:33,88:21:30,7.9703857398849385,2
2019-05,7:1:56,105:20:37,6.675508982509618,6
2017-10,6:15:57,153:46:20,4.0747498103255175,8
2019-04,5:28:36,149:16:26,3.6688711652331842,8
2017-09,4:54:51,138:21:2,3.5519674257421765,8
2017-05,4:53:34,202:44:8,2.413379224167224,7
2019-02,4:46:6,84:43:43,5.627772331922511,5
2018-12,4:33:30,128:5:11,3.5587960382641057,7
2015-09,4:32:56,109:46:24,4.143892465281995,9
2017-04,4:4:47,151:22:17,2.6951739375377337,9
2018-05,4:4:15,157:22:21,2.586750120467892,8
2017-01,3:50:46,177:57:30,2.1612424880980257,14
2015-12,3:45:59,81:46:15,4.606029723991507,5
2017-03,3:45:42,137:11:31,2.741900540807587,7
2017-08,3:34:20,112:56:2,3.163109193677717,6
2018-04,3:28:47,178:19:33,1.9513281711224615,12
2017-11,3:20:7,112:3:24,2.9764206601818524,7
2017-12,3:13:31,93:49:5,3.437800707634458,7
2014-08,2:59:37,114:12:41,2.621114356663205,8
2017-07,2:48:36,62:38:54,4.485354758040916,6
2018-09,2:38:44,132:50:25,1.9915311830205447,12
2015-06,1:57:44,83:12:2,2.358424422913843,8
2018-01,1:8:46,79:51:57,1.4350455799135355,18
2013-06,1:3:14,10:54:25,9.662549344199668,4
2018-10,0:55:33,172:2:47,0.5381300585920787,29
2014-07,0:21:23,154:15:24,0.23103629592814284,33
2015-07,0:19:30,90:57:34,0.35730209433996835,34
2017-06,0:17:21,28:42:11,1.00744210353137,21
2018-02,0:16:14,128:4:24,0.21125049884614716,53
2018-11,0:12:54,131:25:54,0.16358310402110096,59
2018-03,0:12:34,147:40:48,0.14182316118935837,52
2015-08,0:6:40,74:44:3,0.14867511884717313,56
2019-06,0:2:56,104:23:21,0.046833297410065436,124
2013-07,0:2:36,142:49:20,0.0303407499611016,87
2018-07,0:1:27,123:58:15,0.019493832554700365,156
2018-08,0:1:26,180:54:49,0.013204583525900176,195
2019-07,0:0:2,64:53:31,0.0008561240695001519,258
