Y-W,Activity time,Total period,% Period,Period rank
2014w19,17:52:10,62:39:58,28.515323717408844,1
2016w21,13:35:52,47:42:38,28.50056474807578,1
2013w35,13:24:21,21:47:38,61.511891712763514,1
2016w30,13:15:36,33:33:32,39.512631195576596,1
2013w36,12:11:30,22:47:18,53.49959774738536,1
2013w10,11:53:43,32:9:48,36.9839707050817,1
2014w43,11:46:34,57:1:15,20.652295700889052,1
2015w14,11:4:7,31:30:9,35.13565942738231,1
2014w45,10:14:0,40:28:16,25.28552602679552,1
2016w41,9:34:58,42:44:8,22.423430918828974,1
2013w39,9:20:13,46:15:51,20.181806173484397,1
2015w04,8:59:6,34:26:32,26.08716691399445,1
2016w49,8:49:35,64:30:24,13.682909604519773,2
2014w16,8:48:59,33:44:39,26.12714954848163,1
2016w38,8:41:38,36:41:6,23.69875668226493,1
2014w20,8:31:52,57:16:33,14.894783043071298,3
2013w15,8:20:1,32:53:42,25.33397510597693,2
2013w49,8:17:44,46:5:16,17.99946961112852,1
2013w05,8:17:13,26:35:26,31.16499174727869,1
2014w07,8:17:10,34:45:14,23.84225586265326,1
2014w12,8:12:53,34:24:34,23.873452056121543,1
2013w12,8:10:52,38:26:20,21.28342245989305,2
2016w37,8:1:53,43:46:9,18.34942152326917,1
2015w05,7:59:5,34:42:16,23.007779983351476,1
2014w44,7:49:10,34:33:5,22.63134622341922,1
2013w48,7:41:36,53:38:38,14.341490694808355,2
2014w02,7:39:41,46:46:53,16.377001775397385,1
2015w08,7:30:44,31:32:27,23.81745004271359,1
2014w41,7:22:7,45:59:0,16.02452579436994,1
2014w06,7:21:44,19:45:39,37.25663841212275,1
2014w39,7:4:53,47:57:29,14.765796500414135,1
2016w31,7:2:32,35:44:59,19.698676757395162,1
2014w40,6:43:51,51:28:10,13.077338226563764,3
2013w40,6:43:1,28:13:39,23.795746858363103,2
2013w41,6:42:20,21:27:24,31.251618248666563,1
2013w47,6:40:11,36:49:18,18.113580470435583,2
2016w05,6:39:53,23:45:56,28.043620552620506,1
2015w16,6:39:40,24:31:24,27.162339721806894,1
2016w46,6:34:36,42:59:34,15.29714293098324,1
2016w33,6:32:35,25:34:32,25.583239204101137,1
2016w40,6:26:18,39:6:19,16.464103310863127,1
2016w43,6:25:55,44:41:16,14.39307292573162,2
2015w21,6:24:40,25:59:7,24.6720899654719,1
2016w29,6:16:39,45:29:26,13.799567675830147,2
2014w42,6:15:31,32:43:23,19.12599848900283,1
2014w37,6:15:13,58:30:48,10.687497626371957,1
2013w43,6:15:8,32:17:36,19.36072116707955,2
2013w52,6:14:52,47:21:34,13.19225309981583,1
2016w47,6:11:23,23:46:56,26.026677256587554,1
2016w34,6:3:1,41:30:33,14.575763050999445,2
2016w36,5:55:32,30:40:39,19.31564030822445,2
2016w42,5:50:9,46:31:55,12.541563442079815,1
2013w33,5:47:38,15:53:56,36.442099378013836,1
2014w17,5:47:19,36:53:16,15.692490737672822,2
2013w44,5:45:46,33:21:32,17.275089098357924,3
2016w18,5:41:56,35:37:24,15.997629518729921,2
2016w09,5:39:5,37:40:32,15.000147457827062,2
2014w38,5:36:27,37:9:39,15.089812302379297,1
2013w06,5:30:37,32:34:45,16.913501300251525,2
2013w08,5:29:24,37:25:8,14.671734418148885,3
2013w09,5:17:26,33:36:30,15.741796842714274,2
2013w46,5:16:48,34:45:39,15.189509265696545,2
2013w20,5:14:52,27:18:9,19.220869069784005,2
2014w13,5:12:19,28:10:57,18.4698936495264,1
2016w17,5:11:16,36:51:38,14.074062909765031,2
2014w22,5:7:15,41:39:43,12.291393024542781,2
2013w03,5:6:58,26:11:38,19.53169738488621,2
2014w18,4:59:50,44:6:25,11.329785559089334,2
2019w18,4:58:50,36:11:0,13.764778136035622,2
2013w02,4:57:44,39:37:11,12.524626483723734,2
2014w10,4:55:4,41:48:32,11.76251727437015,2
2019w10,4:52:16,44:11:2,11.024631904540367,2
2016w32,4:45:37,41:49:55,11.379527872771341,2
2015w46,4:44:54,36:22:4,13.056429684397054,2
2015w20,4:43:11,21:45:28,21.692115207843937,1
2013w04,4:43:7,33:25:1,14.120414626644832,2
2016w35,4:39:25,34:3:30,13.673436098197536,2
2018w49,4:31:0,45:39:26,9.89255685482399,2
2017w06,4:30:41,45:32:43,9.905283509084367,3
2015w06,4:22:25,20:33:14,21.278752331270102,1
