Month,Category time,Total period,% Period,Period rank,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS
3,150:14:37,918:22:28,16.359733442060065,1,microsoft word,91:2:0,Google Documents,37:48:26,texshop,11:24:19
10,131:41:31,979:13:30,13.44858887839306,2,microsoft word,108:33:39,texshop,12:15:38,MS Word,3:56:10
5,128:9:53,1026:41:54,12.483191806313334,4,microsoft word,102:14:5,Google Documents,9:54:17,overleaf.com,7:36:15
11,116:42:19,816:36:28,14.291472718440922,2,microsoft word,74:54:32,Google Documents,19:7:9,Hosted Google Docs,10:38:38
2,114:44:10,796:2:41,14.413274519403398,2,microsoft word,85:10:23,texshop,11:28:6,Google Documents,8:50:31
9,106:57:45,825:47:31,12.952717778321214,1,microsoft word,85:21:22,texshop,14:55:9,TextEdit,2:34:3
4,103:12:12,937:21:26,11.010032342703452,3,microsoft word,75:48:15,texshop,13:0:18,Google Documents,10:24:13
1,91:46:33,822:13:15,11.161944530311706,2,microsoft word,71:42:12,Google Documents,12:4:24,aajsoap.epad.isb.bj.edu.cn,2:35:13
12,71:16:26,775:0:18,9.196571491653458,3,microsoft word,59:2:19,Google Documents,4:29:36,notability,2:50:46
8,58:33:31,707:57:7,8.271551702151786,3,microsoft word,55:26:42,TextEdit,1:26:17,Google Documents,0:48:50
7,35:4:35,768:41:58,4.5630823779558405,8,microsoft word,29:45:56,Google Documents,3:41:3,TextEdit,0:47:35
6,20:47:52,558:20:36,3.724908409600624,8,microsoft word,19:18:22,Google Documents,1:0:46,TextEdit,0:25:39
