Y-M-D,Category time,Total period,% Period,Period rank,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS
2015-11-18,6:40:19,10:0:25,66.67314365024289,1,Google Documents,6:40:16,microsoft word,0:0:3,,0:0:0
2016-07-31,5:49:43,8:33:11,68.14653632554968,1,microsoft word,5:49:43,,0:0:0,,0:0:0
2016-05-24,5:27:44,10:12:13,53.532246209130754,1,microsoft word,5:27:41,Google Documents,0:0:3,,0:0:0
2019-05-06,4:44:59,7:21:7,64.60497978614879,1,Google Documents,3:11:31,overleaf.com,1:28:7,microsoft word,0:5:21
2016-03-08,4:32:30,10:22:57,43.743478609840274,1,Google Documents,4:32:22,microsoft word,0:0:8,,0:0:0
2013-08-30,4:23:49,6:9:58,71.30822596630327,1,microsoft word,4:17:27,stickies,0:6:22,,0:0:0
2018-09-27,4:21:42,8:37:56,50.52773844767666,1,texshop,4:21:14,overleaf.com,0:0:16,microsoft word,0:0:10
2016-03-10,4:19:47,8:7:37,53.276139043647674,1,Google Documents,2:44:32,microsoft word,1:35:15,,0:0:0
2018-12-05,4:17:12,7:46:55,55.084776012850256,1,microsoft word,3:49:27,notability,0:22:46,texshop,0:4:59
2015-03-02,4:16:0,5:44:37,74.28543792619818,1,Google Documents - Google Apps,4:13:15,microsoft word,0:2:45,,0:0:0
2014-05-10,4:13:34,9:22:1,45.11728596423593,1,microsoft word,4:13:34,,0:0:0,,0:0:0
2015-01-25,4:12:12,8:27:16,49.71743987383362,1,microsoft word,4:12:11,Google Documents - Google Apps,0:0:1,,0:0:0
2014-05-07,4:11:46,7:12:7,58.26358622285648,1,microsoft word,4:11:46,,0:0:0,,0:0:0
2018-09-26,4:7:1,8:28:14,48.603003869613694,1,texshop,4:6:57,microsoft word,0:0:4,,0:0:0
2014-11-03,4:0:4,9:33:11,41.88305079817394,1,microsoft word,3:55:40,Hosted Google Docs,0:4:19,Google Docs,0:0:5
2014-03-18,3:54:26,8:24:24,46.47766323024055,1,microsoft word,3:52:8,TextEdit,0:2:18,,0:0:0
2016-05-25,3:52:38,5:52:6,66.0702451954937,1,microsoft word,3:52:30,Google Documents,0:0:8,,0:0:0
2016-11-17,3:50:59,8:33:27,44.98652903560879,1,microsoft word,3:39:59,Google Documents,0:11:0,,0:0:0
2016-05-26,3:49:45,9:15:38,41.349211110444536,1,microsoft word,3:46:45,Google Documents,0:3:0,,0:0:0
2016-12-10,3:49:21,8:40:49,44.03660917149349,1,microsoft word,3:49:21,,0:0:0,,0:0:0
2016-02-03,3:46:19,7:39:48,49.220675656082356,1,microsoft word,3:46:19,,0:0:0,,0:0:0
2016-08-15,3:37:18,7:10:48,50.44103992571959,1,microsoft word,3:37:18,,0:0:0,,0:0:0
2016-03-11,3:35:33,6:17:30,57.09933774834437,1,Google Documents,2:23:49,microsoft word,1:11:44,,0:0:0
2019-05-08,3:30:44,7:15:39,48.37216419908948,1,overleaf.com,2:57:49,microsoft word,0:27:34,Google Documents,0:5:21
2015-03-31,3:24:31,5:56:6,57.432369184685946,1,microsoft word,3:24:31,,0:0:0,,0:0:0
2016-02-27,3:22:9,11:36:7,29.039672468695382,1,Google Documents,3:12:1,microsoft word,0:10:8,,0:0:0
2016-07-30,3:21:35,7:15:5,46.3321202834706,1,microsoft word,3:21:35,,0:0:0,,0:0:0
2017-03-07,3:18:25,14:15:13,23.200748348371757,1,Google Documents,3:16:17,microsoft word,0:1:41,Google Documents - Google Apps,0:0:27
2015-01-31,3:16:20,8:24:30,38.91641889659729,1,microsoft word,3:16:20,,0:0:0,,0:0:0
2019-05-18,3:13:14,5:1:8,64.16869603719283,1,overleaf.com,1:43:3,microsoft word,1:30:11,,0:0:0
2019-03-07,3:12:49,7:47:43,41.22510066635784,1,microsoft word,2:29:32,Google Documents,0:43:17,,0:0:0
2018-03-01,3:11:49,10:47:7,29.64174414711412,1,texshop,3:9:37,TextEdit,0:1:34,sublimetext.com,0:0:38
2018-02-13,3:9:58,6:23:16,49.56514176378501,1,texshop,3:8:17,sharelatex.com,0:1:41,,0:0:0
2019-05-03,3:9:56,7:6:36,44.52258165338334,1,microsoft word,2:4:26,Google Documents,1:4:48,overleaf.com,0:0:42
2015-11-09,3:9:3,7:24:22,42.54369514665066,1,microsoft word,1:39:25,Google Documents,1:10:0,onenoteim,0:13:56
2018-05-13,3:7:36,11:49:12,26.452340665538635,2,TextEdit,2:58:53,texshop,0:4:43,Google Documents,0:4:0
2019-03-17,3:5:50,10:41:29,28.969315908441374,2,Google Documents,1:58:20,microsoft word,1:7:1,overleaf.com,0:0:21
2013-12-29,3:5:22,5:43:54,53.90132790539886,1,microsoft word,3:4:15,TextEdit,0:1:7,,0:0:0
2014-11-02,3:4:30,10:36:2,29.00791363136104,2,microsoft word,3:3:31,Google Docs,0:0:48,Hosted Google Docs,0:0:11
2016-09-17,3:4:17,7:55:22,38.766566159455856,1,microsoft word,3:4:17,,0:0:0,,0:0:0
2015-03-04,3:1:13,5:43:45,52.71757575757576,1,Google Documents - Google Apps,2:1:42,microsoft word,0:59:31,,0:0:0
2013-10-07,3:0:51,5:14:4,57.58331564423689,1,microsoft word,3:0:51,,0:0:0,,0:0:0
2013-02-25,3:0:12,8:1:34,37.41953346715581,1,microsoft word,1:53:53,sibelius 6,1:6:19,,0:0:0
2014-05-09,2:58:41,7:55:0,37.617543859649125,1,microsoft word,2:58:41,,0:0:0,,0:0:0
2014-10-21,2:57:8,6:51:52,43.007445775331824,1,microsoft word,2:57:8,,0:0:0,,0:0:0
2015-04-18,2:56:29,6:4:12,48.45780706571481,1,microsoft word,2:54:14,Google Documents,0:2:15,,0:0:0
2019-03-21,2:53:59,5:13:52,55.4322429906542,1,Google Documents,2:38:27,overleaf.com,0:14:9,microsoft word,0:1:5
2014-10-22,2:51:16,7:48:6,36.587623727123834,1,microsoft word,2:16:51,Hosted Google Docs,0:34:25,,0:0:0
2013-05-14,2:51:4,9:44:1,29.29140150109871,1,microsoft word,2:51:4,,0:0:0,,0:0:0
2015-01-18,2:50:5,6:27:37,43.87926215762996,1,microsoft word,2:50:5,,0:0:0,,0:0:0
2013-01-31,2:49:49,5:31:39,51.20357806924971,1,microsoft word,2:49:16,stickies,0:0:33,,0:0:0
2013-03-08,2:49:45,4:32:23,62.32025943829162,1,microsoft word,2:49:23,stickies,0:0:22,,0:0:0
2015-11-04,2:47:47,7:13:6,38.74009081813284,1,microsoft word,2:18:29,Google Documents,0:28:8,onenoteim,0:1:10
2018-11-02,2:46:20,9:22:57,29.546732983983183,2,texshop,2:46:20,,0:0:0,,0:0:0
2013-09-03,2:45:57,4:51:48,56.87114461960247,1,microsoft word,2:41:56,stickies,0:3:49,humanitieswa.epad.isb.bj.edu.cn,0:0:12
2013-09-04,2:44:57,4:33:33,60.29976238347651,1,microsoft word,2:44:57,,0:0:0,,0:0:0
2018-10-01,2:44:26,11:3:52,24.76902992568789,1,texshop,2:22:20,TextEdit,0:21:57,overleaf.com,0:0:9
2013-10-08,2:44:15,3:58:12,68.95465994962217,1,microsoft word,2:44:15,,0:0:0,,0:0:0
2016-03-09,2:43:56,6:51:33,39.83315109545215,1,Google Documents,2:43:56,,0:0:0,,0:0:0
2014-02-09,2:43:35,5:58:27,45.636304459013346,1,microsoft word,2:43:35,,0:0:0,,0:0:0
2016-11-27,2:42:33,8:11:24,33.07895807895808,1,microsoft word,2:42:33,,0:0:0,,0:0:0
2013-03-25,2:41:51,4:34:18,59.00473933649289,1,microsoft word,2:41:51,,0:0:0,,0:0:0
2016-08-01,2:40:25,8:15:24,32.38124074821693,1,microsoft word,2:40:25,,0:0:0,,0:0:0
2019-03-18,2:40:18,7:25:58,35.94439046266537,1,Google Documents,2:28:0,microsoft word,0:12:14,texshop,0:0:4
2013-08-27,2:40:17,3:45:55,70.94798967170786,1,microsoft word,2:40:17,,0:0:0,,0:0:0
2014-03-19,2:39:49,7:46:38,34.24887491963712,1,microsoft word,2:39:47,TextEdit,0:0:2,,0:0:0
2014-10-13,2:38:28,7:44:22,34.125331993396024,1,microsoft word,2:18:43,transcribe.wreally.com,0:19:45,,0:0:0
2014-11-06,2:38:2,7:11:26,36.62983852275361,1,microsoft word,2:0:40,ibooks author,0:22:25,Google Docs,0:14:57
2015-05-16,2:37:14,9:43:1,26.9689259883937,1,microsoft word,2:37:14,,0:0:0,,0:0:0
2015-03-03,2:34:48,4:56:12,52.26198514517218,1,microsoft word,1:50:44,Google Documents - Google Apps,0:43:56,grammarly.com,0:0:8
2013-12-28,2:34:38,4:48:43,53.558852392772614,1,microsoft word,2:34:30,TextEdit,0:0:8,,0:0:0
