Y-M,Category time,Total period,% Period,Period rank,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS
2014-10,39:35:33,198:38:37,19.931423808971118,1,microsoft word,35:32:45,Hosted Google Docs,2:15:3,transcribe.wreally.com,1:6:52
2014-05,35:59:32,223:25:53,16.10884773227675,2,microsoft word,34:57:43,TextEdit,1:1:49,,0:0:0
2014-11,33:2:54,138:12:14,23.912737621951464,2,microsoft word,19:51:19,Hosted Google Docs,10:38:37,ibooks author,0:56:49
2013-03,29:33:36,123:49:36,23.872079250565307,2,microsoft word,29:26:19,stickies,0:4:3,grammarly.com,0:1:37
2016-10,29:28:34,190:43:53,15.45425285414479,1,microsoft word,29:25:34,Google Documents,0:2:16,TextEdit,0:0:43
2016-09,29:15:39,168:28:42,17.36771296012346,1,microsoft word,28:11:53,Google Documents,1:3:39,poets.org,0:0:7
2016-05,28:21:1,202:24:32,14.006439111150147,2,microsoft word,26:59:14,Google Documents,1:21:13,thebookdesigner.com,0:0:33
2016-07,28:5:1,129:9:0,21.744956338452273,2,microsoft word,26:12:22,Google Documents,1:51:17,TextEdit,0:1:22
2016-03,28:0:15,110:24:10,25.365454774185434,1,Google Documents,16:43:33,microsoft word,11:7:51,stickies,0:7:46
2013-10,27:42:43,119:9:56,23.25499538457235,2,microsoft word,27:26:19,Google Docs,0:8:19,stickies,0:6:47
2013-01,26:40:6,121:50:58,21.886298665475152,2,microsoft word,21:12:17,aajsoap.epad.isb.bj.edu.cn,2:35:13,stickies,2:5:3
2016-08,26:17:11,160:49:39,16.344461543510214,1,microsoft word,26:17:7,wordhippo.com,0:0:4,,0:0:0
2014-03,25:14:0,151:46:46,16.62500045753524,1,microsoft word,24:45:47,Google Docs,0:17:17,TextEdit,0:10:56
2013-09,24:52:58,86:33:46,28.74535500888886,1,microsoft word,24:29:43,stickies,0:10:58,Google Docs,0:5:47
2015-01,24:52:38,128:28:27,19.36359882120703,1,microsoft word,22:52:58,Hosted Google Docs,1:6:32,Google Docs,0:40:25
2014-09,24:0:0,189:47:12,12.645777715329492,1,microsoft word,20:33:15,TextEdit,1:53:19,Hosted Google Docs,1:23:58
2015-11,23:59:51,142:34:4,16.83234484962318,2,Google Documents,11:55:9,microsoft word,11:22:30,onenoteim,0:35:39
2013-02,23:37:42,101:22:15,23.308808417937442,2,microsoft word,17:9:13,humanitiesaff.epad.isb.bj.edu.cn,3:22:16,sibelius 6,2:48:40
2019-03,23:3:57,159:17:46,14.4798471051466,3,Google Documents,12:17:25,microsoft word,9:12:37,overleaf.com,0:45:48
2013-12,22:54:49,209:8:17,10.956213134067475,2,microsoft word,22:22:29,TextEdit,0:32:19,stickies,0:0:1
2013-08,22:37:22,64:19:53,35.16600242667093,1,microsoft word,22:27:32,stickies,0:6:22,Google Docs,0:3:28
2019-05,21:45:36,105:20:37,20.65621234215016,1,overleaf.com,7:36:15,microsoft word,7:1:56,Google Documents,6:57:1
2014-02,21:18:59,102:21:42,20.824581684766976,1,microsoft word,21:8:52,TextEdit,0:8:28,Google Docs,0:1:39
