Y-W,Category time,Total period,% Period,Period rank,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS
2016w10,18:13:48,42:49:3,42.576049512465694,1,Google Documents,15:18:41,microsoft word,2:55:4,TextEdit,0:0:3
2014w19,17:52:30,62:39:58,28.524189044229114,1,microsoft word,17:52:10,TextEdit,0:0:20,,0:0:0
2016w21,13:39:19,47:42:38,28.621083151876476,1,microsoft word,13:35:52,Google Documents,0:3:27,,0:0:0
2013w35,13:31:3,21:47:38,62.02426776109511,1,microsoft word,13:24:21,stickies,0:6:42,,0:0:0
2016w30,13:16:36,33:33:32,39.56229513624474,1,microsoft word,13:15:36,Google Documents,0:1:0,,0:0:0
2014w43,13:8:53,57:1:15,23.058336378029473,1,microsoft word,11:46:34,Hosted Google Docs,0:51:26,ibooks author,0:30:42
2014w45,13:4:2,40:28:16,32.2877772896991,1,microsoft word,10:14:0,Hosted Google Docs,1:37:23,ibooks author,0:56:49
2015w47,12:55:39,43:18:33,29.849339054472686,1,Google Documents,9:26:31,microsoft word,3:28:35,Google Documents - Google Apps,0:0:33
2013w36,12:23:44,22:47:18,54.39430507813452,1,microsoft word,12:11:30,stickies,0:10:23,humanitieswa.epad.isb.bj.edu.cn,0:0:56
2013w10,11:54:16,32:9:48,37.01247106781359,1,microsoft word,11:53:43,stickies,0:0:33,,0:0:0
2015w14,11:24:32,31:30:9,36.21582061388426,1,microsoft word,11:4:7,Google Documents - Google Apps,0:17:39,TextEdit,0:2:28
2018w39,11:7:18,55:17:42,20.113331524851553,1,texshop,10:6:57,TextEdit,0:34:8,microsoft word,0:25:25
2015w10,10:51:45,25:0:13,43.44372479530735,1,Google Documents - Google Apps,7:10:48,microsoft word,3:40:49,grammarly.com,0:0:8
2019w19,10:51:20,30:38:22,35.430001269242624,1,overleaf.com,5:46:25,Google Documents,4:2:36,microsoft word,0:55:49
2015w04,10:21:26,34:26:32,30.07129492225305,1,microsoft word,8:59:6,Hosted Google Docs,1:6:32,Google Docs,0:13:16
2016w49,10:5:3,64:30:24,15.632751136833402,2,microsoft word,8:49:35,Google Documents,1:10:31,TextEdit,0:4:57
2019w12,9:47:3,26:13:51,37.30025097690377,1,Google Documents,7:40:39,microsoft word,1:20:35,overleaf.com,0:45:27
2016w41,9:35:11,42:44:8,22.43188081743019,1,microsoft word,9:34:58,Google Documents,0:0:9,TextEdit,0:0:4
2013w39,9:26:15,46:15:51,20.399157014968388,1,microsoft word,9:20:13,Google Docs,0:5:47,stickies,0:0:15
2019w18,9:24:57,36:11:0,26.02257024412713,1,microsoft word,4:58:50,Google Documents,4:14:44,overleaf.com,0:7:10
2013w06,9:4:35,32:34:45,27.859487573005925,1,microsoft word,5:30:37,humanitiesaff.epad.isb.bj.edu.cn,3:22:16,stickies,0:11:38
2014w39,8:53:6,47:57:29,18.52660600408922,1,microsoft word,7:4:53,TextEdit,0:55:31,Hosted Google Docs,0:45:22
2013w05,8:50:28,26:35:26,33.249065039801096,1,microsoft word,8:17:13,stickies,0:33:2,Google Docs,0:0:13
2014w41,8:49:28,45:59:0,19.19052796907092,1,microsoft word,7:22:7,transcribe.wreally.com,0:47:7,Hosted Google Docs,0:40:7
2014w16,8:48:59,33:44:39,26.12714954848163,1,microsoft word,8:48:59,,0:0:0,,0:0:0
2014w44,8:43:5,34:33:5,25.232142139325482,1,microsoft word,7:49:10,Google Docs,0:28:55,Hosted Google Docs,0:20:33
2016w38,8:41:38,36:41:6,23.69875668226493,1,microsoft word,8:41:38,,0:0:0,,0:0:0
2018w49,8:41:16,45:39:26,19.028266186437584,1,microsoft word,4:31:0,texshop,2:11:27,notability,1:34:0
2014w20,8:32:12,57:16:33,14.904482693398903,3,microsoft word,8:31:52,TextEdit,0:0:20,,0:0:0
2014w47,8:26:38,26:45:40,31.552833713929832,2,Hosted Google Docs,6:53:51,microsoft word,1:32:25,TextEdit,0:0:22
2018w19,8:22:10,51:23:43,16.284461931759836,2,TextEdit,3:0:13,microsoft word,2:51:46,texshop,1:40:34
2013w15,8:20:1,32:53:42,25.33397510597693,2,microsoft word,8:20:1,,0:0:0,,0:0:0
2014w07,8:19:10,34:45:14,23.93816839042793,1,microsoft word,8:17:10,Google Docs,0:1:39,TextEdit,0:0:21
2013w49,8:17:45,46:5:16,18.0000723257552,1,microsoft word,8:17:44,stickies,0:0:1,,0:0:0
2013w12,8:17:29,38:26:20,21.570313629137157,2,microsoft word,8:10:52,stickies,0:3:23,grammarly.com,0:1:37
2014w12,8:16:9,34:24:34,24.03167734956488,1,microsoft word,8:12:53,TextEdit,0:3:16,,0:0:0
2015w05,8:9:13,34:42:16,23.494429147723636,1,microsoft word,7:59:5,Google Documents - Google Apps,0:10:8,,0:0:0
2016w37,8:1:57,43:46:9,18.35196009367325,1,microsoft word,8:1:53,Google Documents,0:0:4,,0:0:0
2013w48,7:42:14,53:38:38,14.36116778342775,2,microsoft word,7:41:36,stickies,0:0:38,,0:0:0
2014w02,7:41:34,46:46:53,16.444098733470693,1,microsoft word,7:39:41,TextEdit,0:1:53,,0:0:0
2017w10,7:41:20,42:33:3,18.06989026197424,1,Google Documents,5:47:0,microsoft word,1:53:48,Google Documents - Google Apps,0:0:27
2015w08,7:31:34,31:32:27,23.861484671545703,1,microsoft word,7:30:44,TextEdit,0:0:50,,0:0:0
2018w07,7:25:36,36:48:58,20.17232793613907,2,texshop,6:16:16,Google Documents,1:2:38,TextEdit,0:4:46
2013w09,7:23:14,33:36:30,21.980328952806016,2,microsoft word,5:17:26,sibelius 6,2:5:48,,0:0:0
2014w40,7:23:2,51:28:10,14.346160073398456,3,microsoft word,6:43:51,Hosted Google Docs,0:24:58,TextEdit,0:12:14
2014w06,7:21:44,19:45:39,37.25663841212275,1,microsoft word,7:21:44,,0:0:0,,0:0:0
2015w46,7:4:34,36:22:4,19.45708960923895,2,microsoft word,4:44:54,Google Documents,1:59:52,onenoteim,0:13:59
2016w09,7:3:47,37:40:32,18.74705084345877,2,microsoft word,5:39:5,Google Documents,1:23:40,Google Documents - Google Apps,0:1:2
2014w37,7:3:18,58:30:48,12.057081007177851,1,microsoft word,6:15:13,Hosted Google Docs,0:35:41,TextEdit,0:10:47
2016w31,7:2:32,35:44:59,19.698676757395162,2,microsoft word,7:2:32,,0:0:0,,0:0:0
2019w11,6:58:27,48:37:41,14.34185798093236,3,Google Documents,3:20:31,microsoft word,2:59:46,texshop,0:18:59
2016w36,6:58:0,30:40:39,22.709368972917176,1,microsoft word,5:55:32,Google Documents,1:2:21,poets.org,0:0:7
