Hour,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
15,64797,17:59:57,Xcode,3:21:34,Terminal,2:12:5,github.com,1:50:25,0.8379940429340864
17,64534,17:55:34,Xcode,2:21:20,Terminal,1:40:32,Slack,1:39:4,0.7378087519757027
14,56553,15:42:33,Xcode,3:20:35,Terminal,1:25:30,Slack,1:24:13,0.8566963733135289
16,55199,15:19:59,Xcode,3:9:58,Slack,1:52:45,Terminal,1:13:41,0.8554774543017083
23,49228,13:40:28,youtube.com,2:33:29,wechat,1:43:46,tw.iqiyi.com,1:22:24,0.22872145933208743
11,49106,13:38:26,Xcode,3:0:11,Slack,1:18:35,Terminal,1:9:52,0.8226947827149431
13,49078,13:37:58,Xcode,3:44:0,Terminal,1:8:5,github.com,1:4:34,0.8852693671298749
00,47033,13:3:53,wechat,2:51:51,youtube.com,1:34:24,amazon.com,0:57:2,0.29793442901792355
22,33738,9:22:18,youtube.com,3:45:50,tw.iqiyi.com,0:44:40,Google Spreadsheets,0:27:12,0.2965869346137886
12,32445,9:0:45,Xcode,1:11:18,en.wikipedia.org,0:57:52,Slack,0:36:36,0.710571736785329
18,28898,8:1:38,Terminal,0:46:45,github.com,0:36:11,facetime,0:32:5,0.6724946363070109
01,19445,5:24:5,wechat,1:3:54,Google Spreadsheets,0:40:30,tw.iqiyi.com,0:30:10,0.3976729236307534
21,18410,5:6:50,youtube.com,2:37:59,google.com,0:29:46,tw.iqiyi.com,0:21:3,0.28916349809885933
10,15714,4:21:54,Xcode,0:42:13,Slack,0:25:50,Terminal,0:19:30,0.8654384625175003
20,6576,1:49:36,youtube.com,0:28:18,Google Documents,0:23:13,tw.iqiyi.com,0:21:43,0.2952402676399027
19,2728,0:45:28,Xcode,0:33:21,sweeney.braze.com,0:6:44,Slack,0:3:58,0.9849706744868035
02,2225,0:37:5,tw.iqiyi.com,0:19:14,wechat,0:5:38,youtube.com,0:3:31,0.22258426966292133
09,831,0:13:51,braze.bamboohr.com,0:6:22,wechat,0:4:16,Mail,0:1:33,0.6323706377858003
03,392,0:6:32,tw.iqiyi.com,0:3:16,wechat,0:2:12,Finder,0:0:48,0.10204081632653061
05,305,0:5:5,tw.iqiyi.com,0:4:34,loginwindow,0:0:31,,0:0:0,0.05081967213114752
06,61,0:1:1,loginwindow,0:0:55,wechat,0:0:6,,0:0:0,0.45081967213114754
08,19,0:0:19,youtube.com,0:0:15,wechat,0:0:2,storeuid,0:0:2,0.07894736842105265
04,2,0:0:2,loginwindow,0:0:1,tw.iqiyi.com,0:0:1,,0:0:0,0.25
