Y-M-D,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
2019-07-10,40949,11:22:29,youtube.com,2:9:57,Terminal,2:6:13,sublime text,1:58:13,0.6816161566827028
2019-06-24,39476,10:57:56,youtube.com,2:36:53,Xcode,1:36:9,wechat,0:55:56,0.5713344817104063
2019-07-11,36466,10:7:46,sublime text,3:39:50,Terminal,3:33:26,wechat,0:41:50,0.8599106016563374
2019-07-08,34578,9:36:18,youtube.com,1:46:32,Xcode,1:29:42,github.com,0:37:16,0.6107351495170339
2019-06-18,33883,9:24:43,github.com,1:10:39,google.com,0:43:54,jira.braze.com,0:43:34,0.605259274562465
2019-07-02,32906,9:8:26,Xcode,2:27:51,github.com,1:11:29,amazon.com,1:3:26,0.7842490731173646
2019-06-14,31388,8:43:8,Xcode,1:42:37,Terminal,1:1:12,en.wikipedia.org,0:46:58,0.8152478654262776
2019-06-17,31343,8:42:23,Xcode,1:58:50,google.com,0:49:16,iqiyi.com,0:29:14,0.737660721692244
2019-06-19,30672,8:31:12,Xcode,1:58:3,youtube.com,1:5:11,sweeney.braze.com,0:54:44,0.6386606677099635
2019-06-12,30225,8:23:45,Xcode,1:30:6,Terminal,0:36:13,Slack,0:33:4,0.8393134822167081
2019-06-13,30171,8:22:51,wechat,1:18:15,Xcode,1:8:55,dashboard-01.braze.com,0:52:27,0.7015345861920387
2019-07-09,27477,7:37:57,Xcode,1:9:36,github.com,0:44:43,sublime text,0:42:27,0.7826181897587072
2019-06-21,27286,7:34:46,Xcode,2:4:40,Slack,1:13:43,tw.iqiyi.com,1:13:18,0.6969233306457524
2019-07-03,25067,6:57:47,Xcode,1:10:46,thebeijinger.com,0:52:18,Slack,0:38:30,0.5748693501416204
2019-07-01,22251,6:10:51,Xcode,1:18:32,youtube.com,0:58:53,Slack,0:42:45,0.6824974158464788
2019-06-20,19692,5:28:12,Xcode,1:16:50,Slack,0:38:6,tw.iqiyi.com,0:36:39,0.6555073126142597
2019-06-11,17996,4:59:56,Slack,0:45:37,Google Documents,0:21:13,united.com,0:20:2,0.6402256056901534
2019-06-16,12099,3:21:39,facetime,1:35:46,iqiyi.com,0:36:30,google.com,0:18:0,0.20419042896107115
2019-06-10,11742,3:15:42,braze.exceedlms.com,0:59:6,google.com/calendar,0:17:37,Slack,0:17:23,0.8737651166751831
2019-06-25,10217,2:50:17,Notes,0:35:46,photos,0:20:9,Google Spreadsheets,0:18:15,0.6302241362435157
2019-06-26,8319,2:18:39,Google Spreadsheets,0:43:14,messenger.com,0:39:42,wechat,0:30:8,0.36395600432744324
2019-06-27,7440,2:4:0,Google Spreadsheets,1:0:50,photos,0:18:41,messages,0:16:25,0.5956989247311828
2019-06-30,6753,1:52:33,youtube.com,1:32:59,map.baidu.com,0:4:59,wechat,0:3:52,0.05949207759514291
2019-06-22,6694,1:51:34,tw.iqiyi.com,1:20:6,facetime,0:22:3,messages,0:5:46,0.0315954586196594
2019-06-23,6311,1:45:11,tw.iqiyi.com,1:22:1,facetime,0:11:33,wechat,0:11:4,0.001346854698146105
2019-07-04,6020,1:40:20,geoguessr.com,0:55:27,youtube.com,0:32:51,messenger.com,0:5:11,0.03193521594684384
2019-07-12,5272,1:27:52,sublime text,0:44:30,Terminal,0:38:57,stackoverflow.com,0:2:8,0.9819802731411229
2019-07-07,2541,0:42:21,youtube.com,0:39:15,hdokiejnpimakedhajhdlcegeplioahd,0:2:13,newengland.com,0:0:36,0.04732388823297912
2019-06-28,1221,0:20:21,messenger.com,0:14:16,Mail,0:2:27,Google Spreadsheets,0:1:34,0.2714987714987715
2019-06-15,778,0:12:58,iqiyi.com,0:8:8,linkedin.com,0:4:2,newtab,0:0:19,0.2561053984575835
2019-07-06,84,0:1:24,loginwindow,0:0:58,Finder,0:0:9,jetsetter.com,0:0:7,0.5119047619047619
