Hour,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
22,3509408,974:50:8,microsoft word,93:55:44,Skype,76:28:11,youtube.com,70:25:30,0.5314813068186999
23,3217539,893:45:39,microsoft word,71:46:3,youtube.com,64:6:13,facebook.com,59:19:44,0.5154761138870423
21,3196349,887:52:29,microsoft word,93:44:31,Skype,77:40:39,youtube.com,52:25:42,0.5612462062184074
20,2779629,772:7:9,microsoft word,85:43:59,Skype,68:22:57,youtube.com,43:55:42,0.5735370619604271
00,2355403,654:16:43,youtube.com,53:35:54,facebook.com,45:33:32,microsoft word,39:0:29,0.5054110697829628
16,2221973,617:12:53,microsoft word,42:55:27,youtube.com,37:50:8,adobe premiere pro cc 2015,36:35:22,0.627830086144161
19,2179085,605:18:5,microsoft word,53:22:54,youtube.com,47:33:6,Skype,45:39:10,0.5518370095705307
15,2161693,600:28:13,microsoft word,43:30:34,youtube.com,36:5:14,adobe premiere pro cc 2015,27:25:23,0.6414908361178021
14,2057847,571:37:27,microsoft word,41:53:51,youtube.com,32:53:7,facebook.com,17:13:3,0.652276991438139
17,1982972,550:49:32,youtube.com,41:46:49,microsoft word,35:47:44,adobe premiere pro cc 2015,26:25:33,0.6047173132046242
13,1827110,507:31:50,microsoft word,46:55:1,youtube.com,26:30:59,Finder,21:4:21,0.6147363869717751
18,1608608,446:50:8,youtube.com,45:27:3,microsoft word,30:39:7,Skype,24:11:12,0.5320906336410114
11,1575359,437:35:59,microsoft word,41:28:10,Finder,18:52:49,youtube.com,17:23:34,0.6264421316030188
12,1374898,381:54:58,microsoft word,44:51:14,youtube.com,21:32:37,Finder,17:42:28,0.6168628509169407
01,1065431,295:57:11,youtube.com,29:24:27,wechat,16:20:8,microsoft word,11:54:0,0.5100853551285818
10,1027025,285:17:5,microsoft word,43:23:31,Finder,12:45:10,Skype,11:35:59,0.6839239551130694
09,683697,189:54:57,microsoft word,22:51:39,Finder,10:38:7,mathematica,7:14:59,0.694622398518642
08,362257,100:37:37,microsoft word,9:8:33,mathematica,9:8:24,Finder,6:19:18,0.6362244207841394
02,341728,94:55:28,youtube.com,12:20:57,texshop,4:22:22,wechat,4:17:50,0.49592804803820584
03,91115,25:18:35,youtube.com,3:17:12,minecraft,2:38:3,facetime,2:18:8,0.36959337101465184
07,61512,17:5:12,Skype,2:9:28,microsoft word,2:1:24,minecraft,1:37:12,0.4691157822863831
06,30087,8:21:27,minecraft,1:8:38,microsoft word,0:56:34,google chrome,0:52:46,0.3954781134709343
04,24544,6:49:4,minecraft,1:30:14,facetime,0:55:3,Skype,0:52:24,0.31598353976531945
05,21083,5:51:23,minecraft,1:25:35,Skype,0:28:44,microsoft word,0:28:37,0.3762747237110468
