Min,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
40,3038956,844:9:16,microsoft word,72:33:11,youtube.com,57:19:56,Skype,40:51:32,0.5780093558445729
35,3015641,837:40:41,microsoft word,70:47:22,youtube.com,56:9:5,Skype,41:10:14,0.5768456026430202
20,2995365,832:2:45,microsoft word,73:32:21,youtube.com,52:23:20,Skype,41:59:40,0.581656242227575
45,2994326,831:45:26,microsoft word,71:15:56,youtube.com,55:47:16,Skype,41:14:47,0.5775769739166677
30,2993460,831:31:0,microsoft word,71:36:15,youtube.com,53:51:21,Skype,41:42:34,0.5803069023805228
15,2978402,827:20:2,microsoft word,71:59:17,youtube.com,53:5:57,Skype,40:9:21,0.5781714489850598
50,2973863,826:4:23,microsoft word,71:45:21,youtube.com,56:27:9,Skype,41:7:0,0.5726481011398306
10,2966692,824:4:52,microsoft word,70:26:45,youtube.com,53:57:51,Skype,40:35:51,0.5751066339208789
25,2964190,823:23:10,microsoft word,73:30:55,youtube.com,52:54:20,Skype,39:47:56,0.5844569680081236
55,2955985,821:6:25,microsoft word,70:23:40,youtube.com,53:36:54,Skype,42:54:1,0.5735867232073234
00,2942030,817:13:50,microsoft word,71:20:25,youtube.com,52:29:21,Skype,42:33:55,0.5764764465352155
05,2937442,815:57:22,microsoft word,69:8:19,youtube.com,53:54:14,Skype,41:20:12,0.5766998122856554
