Category,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
General Social Networking,5296852,1471:20:52,Skype,495:27:3,facebook.com,429:29:26,messages,186:22:0,0.0
Writing,4065084,1129:11:24,microsoft word,858:19:47,Google Documents,111:50:48,texshop,74:45:31,1.0
General Reference & Learning,3548578,985:42:58,en.wikipedia.org,218:41:24,Preview,194:28:54,lms.mitx.mit.edu,33:43:15,0.8334072831427124
Video,3156645,876:50:45,youtube.com,651:56:44,netflix.com,87:17:45,VLC Media Player,59:30:37,0.0005354577407342132
General Utilities,1906897,529:41:37,Finder,354:32:55,loginwindow,49:5:52,applicationframehost,21:55:57,0.539915632569562
Video Editing,1486842,413:0:42,adobe premiere pro cc 2015,275:37:5,final cut pro,97:41:47,adobe premiere pro cc 2017,27:8:53,0.9977623715229997
General Software Development,1457174,404:46:14,virtualbox vm,87:32:9,matlab,77:40:55,users,49:52:23,1.0
Email,1357963,377:12:43,Mail,320:45:48,Notes,26:53:51,microsoft outlook,15:50:0,0.9615258294960909
Editing & IDEs,1288712,357:58:32,eclipse,152:9:13,sublime text,127:18:39,idle,37:45:8,1.0
Presentation,1187524,329:52:4,pages,86:44:15,Keynote,72:33:30,sixohone.mit.edu,48:52:37,1.0
Search,1158081,321:41:21,google.com,157:53:34,wolframalpha.com,19:14:57,bing.com,15:10:22,0.8259841064657827
General Business,1065018,295:50:18,MS Excel,134:49:31,Google Spreadsheets,53:50:21,drive.google.com,36:20:9,0.9997934307213587
Games,1008156,280:2:36,minecraft,63:2:59,kongregate.com,60:29:15,geoguessr.com,19:26:40,0.002330492503144377
Uncategorized,982470,272:54:30,backup and sync from google,11:26:45,secretoflife.org,10:26:30,adobe premiere pro cc 2018,8:23:29,0.5181069142060317
General News & Opinion,977990,271:39:50,9to5mac.com,75:10:44,macrumors.com,25:5:54,thebeijinger.com,20:56:45,0.05487121545210072
Engineering & Technology,773881,214:58:1,mathematica,60:57:2,apple.com,34:29:42,artofproblemsolving.com,33:44:26,0.7800314260202796
Intelligence,620921,172:28:41,microsoft onenote,98:43:14,rescuetime.com,33:38:56,arduino,9:15:9,0.8976069419459158
General Shopping,620160,172:16:0,amazon.com,74:45:2,bhphotovideo.com,39:40:49,app store,8:3:2,0.12043504901960783
Browsers,535621,148:47:1,google chrome,74:41:6,Safari,57:26:10,newtab,10:33:3,0.6869997628920449
General Design & Composition,492635,136:50:35,photoshop cc,62:57:7,epad.isb.bj.edu.cn,20:16:41,indesign cc,13:30:48,1.0
General Entertainment,417393,115:56:33,quicktime player,70:5:0,main,12:8:21,stream.nbcolympics.com,3:45:4,0.15219948585625537
Systems Operations,349010,96:56:50,Terminal,91:44:55,keychain access,2:49:30,SecurityAgent,1:10:40,0.9939256754820779
Voice Chat,249785,69:23:5,facetime,69:15:55,verizon.com,0:3:1,oovoo,0:2:15,0.0012911103549052005
Graphic Design,232063,64:27:43,Adobe Photoshop,55:37:29,hjedesign.com,5:59:18,editor.wix.com,1:9:28,1.0
Maps & Regional,228745,63:32:25,map.baidu.com,42:56:40,google earth,16:9:6,maps,3:9:44,0.2431036743972546
Travel & Outdoors,182750,50:45:50,united.com,15:51:31,tripadvisor.com,9:23:47,airbnb.com,5:37:20,0.0
Regional,169220,47:0:20,gaoloumi.com,46:16:21,top.gaoloumi.com,0:14:46,newsday.com,0:5:11,0.0
Calendars,117825,32:43:45,calendar,28:38:4,google.com/calendar,3:31:10,iCal,0:22:58,0.772488860598345
Science & Technology,89442,24:50:42,cnet.com,2:20:55,nikonrumors.com,2:18:32,discussions.apple.com,1:49:34,0.24811609758279107
Music,75359,20:55:59,iTunes,16:8:28,虾米音乐,1:32:59,changba.com,0:23:44,0.38554120941095293
Photos,56012,15:33:32,photos,10:57:22,iPhoto,1:31:22,digitalcameraworld.com,0:43:31,0.35208526744269086
Instant Message,55131,15:18:51,Slack,11:23:27,web.groupme.com,1:48:51,mp.weixin.qq.com,0:55:6,0.8078576481471405
Comedy,53673,14:54:33,9gag.com,14:17:47,collegehumor.com,0:8:41,bigbangtheory.wikia.com,0:6:6,0.0
File Sharing,53295,14:48:15,dropbox.com,6:15:52,Dropbox,4:56:17,µtorrent,1:54:40,0.42315414203959095
Electronics,49682,13:48:2,store.apple.com,7:41:0,secure2.store.apple.com,1:6:15,secure1.store.apple.com,0:55:46,0.006179300350227457
General Communication & Scheduling,41335,11:28:55,firehose.guide,5:9:3,when2meet.com,1:49:7,qq,1:25:46,0.7243014394580863
Accounting,30564,8:29:24,secure.bankofamerica.com,6:20:51,manage.gusto.com,1:18:42,my.omegafi.com,0:10:34,1.0
Internet Utilities,29589,8:13:9,asuclas.qualtrics.com,0:52:13,bluestacks,0:47:38,soundcloud.com,0:46:17,0.7436462874716956
Business,27317,7:35:17,cnbc.com,2:39:25,bloomberg.com,2:7:19,fortune.com,0:59:48,0.25
Sports,27294,7:34:54,nbcolympics.com,2:4:26,sochi2014.com,1:6:3,sports.yahoo.com,0:53:9,0.25
Marketing,25156,6:59:16,geofilters.snapchat.com,3:33:0,surveymonkey.com,3:0:29,www-ssl.bestbuy.com,0:14:39,1.0
Health & Medicine,21647,6:0:47,logger pro,3:23:24,fitbit.com,0:36:8,bodybuilding.com,0:10:26,0.75
Legal & Gov't,17569,4:52:49,epa.gov,1:20:44,airnow.gov,0:22:48,english.gov.cn,0:18:26,0.75
Virtualization,17099,4:44:59,microsoft remote desktop,3:16:29,virtualbox,1:28:30,,0:0:0,0.5
Society,15445,4:17:25,withoutabox.com,3:27:8,poetryfoundation.org,0:10:35,news.dwnews.com,0:10:20,0.0
Design & Planning,13330,3:42:10,jira.braze.com,3:37:40,thesitewizard.com,0:2:13,princeton.service-now.com,0:0:56,1.0
Customer Relations,12705,3:31:45,contacts,3:23:36,americaninno.typeform.com,0:8:1,survey.medallia.com,0:0:8,1.0
Operations,12455,3:27:35,geeksforgeeks.org,1:3:57,support.nikonusa.com,0:24:23,services.actstudent.org,0:23:19,1.0
Professional Networking,11792,3:16:32,linkedin.com,2:44:4,researchgate.net,0:19:23,academia.edu,0:11:43,0.75
Employment,11735,3:15:35,dell.com,1:0:53,typingtest.com,0:36:46,blog.mturk.com,0:22:24,1.0
Project Management,10997,3:3:17,todoist,2:25:12,trello.com,0:29:12,teambition.com,0:4:7,1.0
International,10943,3:2:23,thediplomat.com,0:59:44,BBC,0:54:6,news.bbc.co.uk,0:27:37,0.2966279813579457
Clothes & Personal,8999,2:29:59,vans.com,0:45:38,thenorthface.com,0:30:28,josbank.com,0:24:23,0.0
Other,6605,1:50:5,system idle process,1:15:56,lockapp,0:34:9,,0:0:0,0.5
Meetings,6247,1:44:7,Zoom,1:15:16,cisco webex meeting center,0:27:13,bluejeans,0:0:52,0.75
Audio Editing,5221,1:27:1,musescore,0:57:18,GarageBand,0:26:23,audio.online-convert.com,0:0:49,1.0
Quality Assurance,5066,1:24:26,localhost:8000,1:15:6,venmo.com,0:3:1,fandango.com,0:2:41,1.0
Business & Finance,3773,1:2:53,investopedia.com,0:18:10,canvaspop.com,0:8:12,economywatch.com,0:5:54,0.75
Administration,3745,1:2:25,worldatlas.com,0:9:57,products.office.com,0:7:57,app.greenhouse.io,0:7:36,1.0
Engineering & Drafting,3170,0:52:50,cad.onshape.com,0:46:39,ftdichip.com,0:2:50,panasonic.com,0:1:57,1.0
Food,2513,0:41:53,delish.com,0:20:58,doordash.com,0:15:35,cooking.stackexchange.com,0:1:10,0.75
Sales,2342,0:39:2,swreg.org,0:15:50,register.ymcanyc.org,0:9:49,dhgate.com,0:9:19,1.0
Home & Garden,1929,0:32:9,zillow.com,0:17:58,vow.mlspin.com,0:7:41,streeteasy.com,0:2:5,0.5
Data Modeling & Analysis,933,0:15:33,applications.act.org,0:6:18,db browser for sqlite,0:4:42,analyticsvidhya.com,0:2:34,1.0
Anti-Virus & Spyware,800,0:13:20,liveupdate,0:6:43,pcsupport.about.com,0:5:54,360doc.com,0:0:38,0.25
Entertainment,745,0:12:25,foxtrotalpha.jalopnik.com,0:4:46,eonline.com,0:2:15,ranker.com,0:1:58,0.0
Office,703,0:11:43,performanceaudio.com,0:4:28,brother-usa.com,0:3:18,amazon.cn,0:1:18,1.0
