Y-M-D,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
2013-07-07,61644,17:7:24,minecraft,10:16:54,Steam,1:15:22,hl2_osx,1:14:10,0.05030903250924662
2018-08-16,53003,14:43:23,google.com,4:4:40,photoshop cc,1:56:27,en.wikipedia.org,1:23:22,0.7380525630624681
2014-08-02,51538,14:18:58,google chrome,10:46:44,Skype,1:45:1,pages,0:42:44,0.4572305871395863
2018-10-27,51446,14:17:26,sublime text,2:39:35,youtube.com,2:21:20,wechat,1:38:25,0.5016279205380398
2017-03-07,51313,14:15:13,Google Documents,3:16:17,youtube.com,3:10:42,MS Excel,1:20:25,0.5539970377876952
2017-01-27,48649,13:30:49,youtube.com,9:17:49,call of duty 4 - modern warfare multiplayer,0:47:24,math.ucdavis.edu,0:29:41,0.15680692306111121
2016-12-13,47644,13:14:4,quartus,3:10:6,mathematica,2:27:46,messages,1:1:52,0.7400459659138612
2018-07-25,46314,12:51:54,sublime text,6:54:3,Terminal,3:18:26,virtualbox vm,0:39:5,0.9028209612644125
2014-05-17,45322,12:35:22,final cut pro,4:45:34,Skype,3:5:10,Finder,2:24:33,0.6273664004236353
2018-08-07,44854,12:27:34,google.com,7:14:52,virtualbox vm,2:5:13,geoguessr.com,0:37:59,0.8702401123645606
2016-12-08,44201,12:16:41,matlab,2:56:24,quartus,1:57:15,facebook.com,1:15:45,0.6812572113753083
2014-05-05,43664,12:7:44,final cut pro,2:10:30,Skype,1:34:35,Finder,1:30:56,0.7132420300476365
2017-04-20,43104,11:58:24,youtube.com,10:15:27,adobe premiere pro cc 2015,0:24:5,en.wikipedia.org,0:17:36,0.11395114142538976
2014-10-11,42956,11:55:56,eclipse,2:14:25,main,1:38:30,pages,1:8:20,0.5691346959679672
2018-08-17,42855,11:54:15,photoshop cc,3:0:45,map.baidu.com,2:13:4,iWork Numbers,1:34:2,0.623141990432855
2016-05-15,42755,11:52:35,adobe premiere pro cc 2015,4:48:1,defense.gov,1:39:1,Google Documents,1:14:54,0.7595953689626944
2018-05-13,42552,11:49:12,youtube.com,3:36:54,TextEdit,2:58:53,VLC Media Player,1:57:59,0.4003219590148524
2017-01-02,42486,11:48:6,quicktime player,5:47:33,youtube.com,2:39:46,facebook.com,0:33:52,0.23295320811561454
2018-08-10,42352,11:45:52,youtube.com,4:33:56,Finder,2:25:29,icloud.com,1:49:53,0.39378305629013977
2013-07-05,42296,11:44:56,minecraft,9:30:19,minecraftpvp.com,0:51:47,Steam,0:44:12,0.016295867221486682
2016-12-07,42161,11:42:41,matlab,3:41:44,smalltownlaowai.com,0:46:16,youtube.com,0:43:33,0.6277483930646807
2013-07-06,42006,11:40:6,minecraft,10:42:29,minecraftsurvivalgames.com,0:23:48,Steam,0:10:59,0.02300861781650243
2016-02-27,41767,11:36:7,Google Documents,3:12:1,matlab,2:34:38,MS Excel,0:56:30,0.8690952187133383
2018-08-15,41042,11:24:2,netflix.com,3:58:2,en.wikipedia.org,1:13:38,youtube.com,0:39:58,0.3360642756200965
2019-07-10,40949,11:22:29,youtube.com,2:9:57,Terminal,2:6:13,sublime text,1:58:13,0.6816161566827028
2013-12-23,40867,11:21:7,matlab,2:39:24,VLC Media Player,1:44:32,Skype,1:31:4,0.5559681405535029
2014-05-11,40707,11:18:27,final cut pro,5:18:16,microsoft word,1:38:15,Skype,1:18:40,0.7658695064730882
2014-01-05,40615,11:16:55,tincta,2:55:58,users,1:55:33,Mail,1:38:8,0.8995875907915795
2018-09-28,40603,11:16:43,virtualbox vm,4:9:3,introml.mit.edu,1:22:45,6004.mit.edu,1:15:8,0.8481146713297048
2014-10-25,40400,11:13:20,microsoft word,2:19:45,minecraft,2:0:55,Skype,0:45:33,0.4762066831683168
2017-05-16,39836,11:3:56,Keynote,3:3:16,matlab,1:47:58,adobe premiere pro cc 2015,1:7:58,0.8457048900492017
2018-10-01,39832,11:3:52,virtualbox vm,2:30:32,texshop,2:22:20,6004.mit.edu,1:30:41,0.7511862321751356
2019-06-24,39476,10:57:56,youtube.com,2:36:53,Xcode,1:36:9,wechat,0:55:56,0.5713344817104063
2014-01-02,39474,10:57:54,tincta,3:17:14,users,2:52:41,arduino,0:37:57,0.8451449055074226
2017-12-16,39200,10:53:20,youtube.com,1:24:39,backup and sync from google,1:21:27,wechat,1:8:58,0.386734693877551
2017-05-25,39017,10:50:17,adobe premiere pro cc 2015,5:14:18,Finder,1:21:54,youtube.com,1:6:56,0.7039880052284901
