Y-M,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
2014-05,804353,223:25:53,Skype,45:10:45,microsoft word,34:57:43,final cut pro,25:17:17,0.6299274074939734
2013-12,752897,209:8:17,Skype,25:6:43,microsoft word,22:22:29,VLC Media Player,18:37:17,0.5652579303676333
2017-05,729848,202:44:8,adobe premiere pro cc 2015,65:41:30,youtube.com,18:30:22,facebook.com,12:5:59,0.6400390903311375
2016-05,728672,202:24:32,adobe premiere pro cc 2015,36:45:38,microsoft word,26:59:14,youtube.com,26:57:19,0.6490461414738045
2014-10,715117,198:38:37,microsoft word,35:32:45,facebook.com,13:36:52,pages,13:14:14,0.6158076230882499
2016-10,686633,190:43:53,microsoft word,29:25:34,mathematica,17:24:6,messages,14:33:8,0.6638903169524331
2014-09,683232,189:47:12,eclipse,22:57:26,microsoft word,20:33:15,Skype,14:1:52,0.5999777527984638
2018-08,651289,180:54:49,youtube.com,22:24:39,virtualbox vm,16:18:16,google.com,15:54:34,0.5514901986675654
2018-04,641973,178:19:33,sublime text,33:11:42,youtube.com,16:31:48,Terminal,15:9:43,0.668884049640717
2017-01,640650,177:57:30,youtube.com,31:8:34,messages,11:30:15,en.wikipedia.org,11:10:40,0.43956333411379067
2018-10,619367,172:2:47,Preview,17:42:10,introml.mit.edu,17:41:22,virtualbox vm,15:2:51,0.7199039503234754
2016-04,614408,170:40:8,adobe premiere pro cc 2015,30:49:25,facebook.com,20:19:14,microsoft word,10:41:47,0.5985993834715694
2016-09,606522,168:28:42,microsoft word,28:11:53,youtube.com,18:50:30,mathematica,10:18:18,0.6116674250892795
2016-08,578979,160:49:39,microsoft word,26:17:7,youtube.com,13:12:40,rio2016.com,9:43:6,0.6428441273344975
2013-11,575571,159:52:51,Skype,24:4:20,microsoft word,20:38:47,Finder,10:15:16,0.5953813691099795
2019-03,573466,159:17:46,eclipse,31:2:53,messenger.com,12:35:0,Google Documents,12:17:25,0.7052767731652791
2018-05,566541,157:22:21,youtube.com,45:42:19,sublime text,12:41:26,microsoft onenote,11:21:58,0.5021454757908077
2014-06,564045,156:40:45,Skype,28:41:31,virtualbox vm,16:58:37,Finder,10:51:10,0.5016253135831361
2014-07,555324,154:15:24,google chrome,48:2:9,Skype,29:35:23,wechat,10:36:31,0.31590071741902026
2017-02,554937,154:8:57,messages,21:0:44,youtube.com,19:59:15,microsoft word,12:21:42,0.46741747261400846
2017-10,553580,153:46:20,sixohone.mit.edu,16:11:15,youtube.com,15:32:20,wechat,13:13:25,0.5405709201922034
2014-03,546406,151:46:46,microsoft word,24:45:47,Finder,15:7:50,Adobe Photoshop,13:26:18,0.6837269356485837
