Y-W,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
2018w33,243753,67:42:33,netflix.com,14:44:43,photoshop cc,7:36:47,en.wikipedia.org,5:36:16,0.511673702477508
2016w49,232224,64:30:24,quartus,9:21:11,microsoft word,8:49:35,matlab,6:58:59,0.6462047419732672
2014w19,225598,62:39:58,microsoft word,17:52:10,final cut pro,7:44:8,Skype,7:19:6,0.7172115887552195
2013w27,215341,59:49:1,minecraft,35:52:20,hl2_osx,6:16:34,Steam,4:9:51,0.03971956106825919
2014w37,210648,58:30:48,microsoft word,6:15:13,eclipse,5:37:50,Mail,5:8:19,0.5982753218639626
2014w20,206193,57:16:33,Skype,12:59:55,final cut pro,10:24:11,microsoft word,8:31:52,0.6513290945861402
2018w43,205541,57:5:41,introml.mit.edu,8:16:30,Preview,5:22:1,virtualbox vm,5:8:41,0.7120027147868309
2014w43,205275,57:1:15,microsoft word,11:46:34,facebook.com,5:16:24,eclipse,2:45:56,0.6288905127268298
2018w32,200059,55:34:19,youtube.com,13:44:28,google.com,9:13:24,virtualbox vm,6:40:15,0.5223921443174263
2018w39,199062,55:17:42,texshop,10:6:57,virtualbox vm,6:9:46,Preview,5:23:42,0.8071681184756507
2017w20,198948,55:15:48,adobe premiere pro cc 2015,16:36:23,Keynote,4:30:10,messages,3:12:14,0.6920652632848785
2017w21,195834,54:23:54,adobe premiere pro cc 2015,21:13:33,quicktime player,4:42:59,youtube.com,3:53:30,0.6612679616409817
2013w48,193118,53:38:38,Skype,7:43:45,microsoft word,7:41:36,Finder,4:52:53,0.6638467154796549
2016w19,188385,52:19:45,adobe premiere pro cc 2015,18:43:6,youtube.com,6:20:30,microsoft word,3:26:51,0.72177721156143
2016w39,188007,52:13:27,mathematica,5:29:59,microsoft word,3:41:2,adobe premiere pro cc 2015,3:34:28,0.6895394852319329
2018w17,187280,52:1:20,sublime text,12:0:17,Terminal,6:56:54,youtube.com,6:31:0,0.6930184750106791
2014w01,186726,51:52:6,tincta,7:55:7,users,6:39:40,arduino,4:34:19,0.7348869466491008
2014w40,185290,51:28:10,pages,7:50:40,main,7:33:19,microsoft word,6:43:51,0.6323182578660478
2018w19,185023,51:23:43,youtube.com,10:18:26,adobe premiere pro cc 2015,7:12:17,sublime text,4:43:11,0.578845602979089
2018w44,181125,50:18:45,texshop,6:27:24,youtube.com,4:48:29,virtualbox vm,4:28:57,0.6319254658385093
2017w16,179958,49:59:18,youtube.com,14:42:50,Preview,3:52:16,facetime,2:56:56,0.4266162104491048
